PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,9,144,460,190,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,-55.28,-24.371,25,9,89,288,4,1,0,1,2,3,,,
2,-48.297,53.314,13,22,101,360,4,1,0,1,2,3,,,
3,-49.072,-38.489,20,10,92,388,4,1,0,1,2,3,,,
4,25.311,-18.561,16,24,76,285,4,1,0,1,2,3,,,
5,-24.469,-3.815,4,25,239,469,4,1,0,1,2,3,,,
6,24.591,-17.896,2,6,278,577,4,1,0,1,2,3,,,
7,-10.419,60.364,7,22,60,370,4,1,0,1,2,3,,,
8,38.177,-35.175,15,1,244,578,4,1,0,1,2,3,,,
9,-68.28,93.073,10,19,179,465,4,1,0,1,2,3,,,
10,-30.792,-57.336,4,19,121,476,4,1,0,1,2,3,,,
11,-37.061,-12.122,19,5,77,435,4,1,0,1,2,3,,,
12,-15.741,-47.638,10,9,164,488,4,1,0,1,2,3,,,
13,-63.379,-22.919,15,8,208,555,4,1,0,1,2,3,,,
14,-43.109,-43.439,4,14,100,454,4,1,0,1,2,3,,,
15,-25.623,13.599,17,4,74,403,4,1,0,1,2,3,,,
16,-2.625,16.632,4,7,242,460,4,1,0,1,2,3,,,
17,-41.577,-28.497,3,10,92,416,4,1,0,1,2,3,,,
18,2.081,12.885,9,22,125,330,4,1,0,1,2,3,,,
19,3.925,-47.845,25,17,74,430,4,1,0,1,2,3,,,
20,-83.295,26.324,14,10,136,387,4,1,0,1,2,3,,,
21,-6.458,26.355,23,8,221,498,4,1,0,1,2,3,,,
22,3.29,6.732,7,14,222,537,4,1,0,1,2,3,,,
23,-34.869,30.426,7,12,88,397,4,1,0,1,2,3,,,
24,15.546,-36.273,1,17,206,395,4,1,0,1,2,3,,,
25,12.842,5.127,10,19,233,492,4,1,0,1,2,3,,,
26,-48.45,-24.426,15,25,103,379,4,1,0,1,2,3,,,
27,-88.538,-10.461,1,25,89,433,4,1,0,1,2,3,,,
28,-29.773,0.995,2,6,165,418,4,1,0,1,2,3,,,
29,9.827,38.416,9,21,113,429,4,1,0,1,2,3,,,
30,1.41,92.938,10,3,260,489,4,1,0,1,2,3,,,
31,-79.303,15.381,2,19,89,445,4,1,0,1,2,3,,,
32,-30.652,40.063,23,16,219,442,4,1,0,1,2,3,,,
33,18.927,21.637,15,21,192,472,4,1,0,1,2,3,,,
34,45.087,-59.906,13,17,277,508,4,1,0,1,2,3,,,
35,-34.949,-3.815,16,19,294,593,4,1,0,1,2,3,,,
36,81.201,-74.744,21,6,141,463,4,1,0,1,2,3,,,
37,15.594,-28.455,1,10,270,540,2,2,0,2,.,1,3,,
38,-72.192,29.547,18,22,105,419,2,2,0,2,.,1,3,,
39,-42.914,-22.675,17,17,157,469,2,2,0,2,.,1,3,,
40,-76.392,-57.489,13,16,117,395,2,2,0,2,.,1,3,,
41,-28.54,12.073,5,5,273,530,2,2,0,2,.,1,3,,
42,-61.389,26.526,23,1,229,574,2,2,0,2,.,1,3,,
43,-8.472,12.616,20,21,157,436,2,2,0,2,.,1,3,,
44,-61.475,33.392,1,20,234,572,2,2,0,2,.,1,3,,
45,-34.674,-27.588,2,6,277,615,2,2,0,2,.,1,3,,
46,10.315,-12.518,15,1,251,472,2,2,0,2,.,1,3,,
47,-83.014,77.002,20,11,72,338,2,2,0,2,.,1,3,,
48,-40.417,49.988,9,22,66,349,2,2,0,2,.,1,3,,
49,83.832,33.905,13,25,143,404,2,2,0,2,.,1,3,,
50,-20.563,-75.83,4,18,190,414,2,2,0,2,.,1,3,,
51,15.442,-18.719,15,9,214,433,2,2,0,2,.,1,3,,
52,-59.937,-65.802,5,23,267,491,2,2,0,2,.,1,3,,
53,5.151,47.815,8,17,205,393,2,2,0,2,.,1,3,,
54,46.008,14.99,19,4,209,480,2,2,0,2,.,1,3,,
55,82.977,-1.66,16,1,126,482,2,2,0,2,.,1,3,,
56,39.893,-38.916,11,14,171,459,2,2,0,2,.,1,3,,
57,90.839,-83.539,23,11,123,482,2,2,0,2,.,1,3,,
58,7.068,0.067,14,7,173,395,2,2,0,2,.,1,3,,
59,18.958,40.088,24,21,236,510,2,2,0,2,.,1,3,,
60,-80.487,58.209,5,3,287,574,2,2,0,2,.,1,3,,
61,64.459,-62.946,5,18,228,418,2,2,0,2,.,1,3,,
62,-43.616,-26.117,23,5,275,624,2,2,0,2,.,1,3,,
63,-18.408,10.303,3,6,252,455,2,2,0,2,.,1,3,,
64,-43.921,63.251,10,22,81,345,2,2,0,2,.,1,3,,
65,11.353,26.221,23,13,79,311,2,2,0,2,.,1,3,,
66,-6.995,38.239,23,17,298,635,2,2,0,2,.,1,3,,
67,74.084,-34.216,20,5,280,529,2,2,0,2,.,1,3,,
68,14.301,-0.8,5,7,171,464,2,2,0,2,.,1,3,,
69,-94.141,-48.779,14,1,226,547,2,2,0,2,.,1,3,,
70,15.332,-42.169,1,3,179,425,2,2,0,2,.,1,3,,
71,-46.637,-16.461,10,10,115,449,2,2,0,2,.,1,3,,
72,-0.958,-81,3,5,286,547,2,2,0,2,.,1,3,,
73,-37.445,-42.505,4,1,229,463,1,4,0,.,1,.,2,.,3
74,-3.68,-69.073,23,17,169,360,1,4,0,.,1,.,2,.,3
