23,,,,,,,,,,,,,,,,,
1,217,167,30,140,169,161,13,190,217,,,,,,,,#
1,217,67,59,105,120,214,78,117,15,60,56,217,,,,,#
1,217,39,64,79,2,58,47,36,123,101,153,29,217,,,,#
1,217,86,172,110,180,23,150,217,,,,,,,,,#
2,218,108,73,16,118,189,85,31,84,102,148,109,122,131,218,,#
2,218,5,218,,,,,,,,,,,,,,#
2,218,207,197,187,127,121,156,21,182,69,35,128,7,76,218,,#
3,219,6,41,88,194,186,82,168,95,43,4,219,,,,,#
3,219,135,199,106,52,45,63,198,94,80,115,163,104,177,149,219,#
3,219,152,202,11,171,137,12,26,209,219,,,,,,,#
3,219,124,77,130,141,14,147,20,32,18,1,143,162,205,219,,#
4,220,37,100,70,159,10,91,129,55,213,66,99,40,220,,,#
4,220,174,158,133,126,68,119,151,220,,,,,,,,#
4,220,178,193,98,28,112,62,210,142,192,191,216,220,,,,#
4,220,139,146,157,83,184,38,144,220,,,,,,,,#
5,221,201,97,165,57,208,50,8,17,116,181,221,,,,,#
5,221,155,96,49,160,107,195,93,74,215,221,,,,,,#
5,221,170,200,75,71,48,89,173,136,175,134,145,114,221,,,#
5,221,51,183,132,44,34,185,196,61,22,212,221,,,,,#
6,222,188,179,164,9,81,42,3,103,24,138,222,,,,,#
6,222,111,46,90,27,166,203,176,125,19,65,113,222,,,,#
6,222,206,154,204,222,,,,,,,,,,,,#
6,222,87,25,72,92,33,211,54,53,222,,,,,,,#
