PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,9,144,460,190,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,-55.28,-24.371,25,9,392,514,4,1,0,1,2,3,,,
2,-48.297,53.314,13,22,310,452,4,1,0,1,2,3,,,
3,-49.072,-38.489,20,10,453,612,4,1,0,1,2,3,,,
4,25.311,-18.561,16,24,472,605,4,1,0,1,2,3,,,
5,-24.469,-3.815,4,25,169,267,4,1,0,1,2,3,,,
6,24.591,-17.896,2,6,154,274,4,1,0,1,2,3,,,
7,-10.419,60.364,7,22,97,266,4,1,0,1,2,3,,,
8,38.177,-35.175,15,1,286,386,4,1,0,1,2,3,,,
9,-68.28,93.073,10,19,185,293,4,1,0,1,2,3,,,
10,-30.792,-57.336,4,19,467,596,4,1,0,1,2,3,,,
11,-37.061,-12.122,19,5,346,436,4,1,0,1,2,3,,,
12,-15.741,-47.638,10,9,455,604,4,1,0,1,2,3,,,
13,-63.379,-22.919,15,8,277,404,4,1,0,1,2,3,,,
14,-43.109,-43.439,4,14,436,562,4,1,0,1,2,3,,,
15,-25.623,13.599,17,4,88,208,4,1,0,1,2,3,,,
16,-2.625,16.632,4,7,301,440,4,1,0,1,2,3,,,
17,-41.577,-28.497,3,10,144,253,4,1,0,1,2,3,,,
18,2.081,12.885,9,22,396,519,4,1,0,1,2,3,,,
19,3.925,-47.845,25,17,433,533,4,1,0,1,2,3,,,
20,-83.295,26.324,14,10,203,363,4,1,0,1,2,3,,,
21,-6.458,26.355,23,8,376,486,4,1,0,1,2,3,,,
22,3.29,6.732,7,14,370,506,4,1,0,1,2,3,,,
23,-34.869,30.426,7,12,244,335,4,1,0,1,2,3,,,
24,15.546,-36.273,1,17,320,413,4,1,0,1,2,3,,,
25,12.842,5.127,10,19,473,631,4,1,0,1,2,3,,,
26,-48.45,-24.426,15,25,242,420,4,1,0,1,2,3,,,
27,-88.538,-10.461,1,25,445,539,4,1,0,1,2,3,,,
28,-29.773,0.995,2,6,105,217,4,1,0,1,2,3,,,
29,9.827,38.416,9,21,193,359,4,1,0,1,2,3,,,
30,1.41,92.938,10,3,292,388,4,1,0,1,2,3,,,
31,-79.303,15.381,2,19,287,439,4,1,0,1,2,3,,,
32,-30.652,40.063,23,16,285,422,4,1,0,1,2,3,,,
33,18.927,21.637,15,21,409,557,4,1,0,1,2,3,,,
34,45.087,-59.906,13,17,417,580,4,1,0,1,2,3,,,
35,-34.949,-3.815,16,19,290,428,4,1,0,1,2,3,,,
36,81.201,-74.744,21,6,169,299,4,1,0,1,2,3,,,
37,15.594,-28.455,1,10,145,251,2,2,0,2,.,1,3,,
38,-72.192,29.547,18,22,147,241,2,2,0,2,.,1,3,,
39,-42.914,-22.675,17,17,87,189,2,2,0,2,.,1,3,,
40,-76.392,-57.489,13,16,362,516,2,2,0,2,.,1,3,,
41,-28.54,12.073,5,5,273,407,2,2,0,2,.,1,3,,
42,-61.389,26.526,23,1,279,429,2,2,0,2,.,1,3,,
43,-8.472,12.616,20,21,418,547,2,2,0,2,.,1,3,,
44,-61.475,33.392,1,20,388,494,2,2,0,2,.,1,3,,
45,-34.674,-27.588,2,6,442,544,2,2,0,2,.,1,3,,
46,10.315,-12.518,15,1,269,397,2,2,0,2,.,1,3,,
47,-83.014,77.002,20,11,451,578,2,2,0,2,.,1,3,,
48,-40.417,49.988,9,22,463,582,2,2,0,2,.,1,3,,
49,83.832,33.905,13,25,152,249,2,2,0,2,.,1,3,,
50,-20.563,-75.83,4,18,182,272,2,2,0,2,.,1,3,,
51,15.442,-18.719,15,9,91,195,2,2,0,2,.,1,3,,
52,-59.937,-65.802,5,23,269,447,2,2,0,2,.,1,3,,
53,5.151,47.815,8,17,198,375,2,2,0,2,.,1,3,,
54,46.008,14.99,19,4,76,213,2,2,0,2,.,1,3,,
55,82.977,-1.66,16,1,134,254,2,2,0,2,.,1,3,,
56,39.893,-38.916,11,14,201,339,2,2,0,2,.,1,3,,
57,90.839,-83.539,23,11,274,432,2,2,0,2,.,1,3,,
58,7.068,0.067,14,7,167,288,2,2,0,2,.,1,3,,
59,18.958,40.088,24,21,270,448,2,2,0,2,.,1,3,,
60,-80.487,58.209,5,3,460,595,2,2,0,2,.,1,3,,
61,64.459,-62.946,5,18,318,471,2,2,0,2,.,1,3,,
62,-43.616,-26.117,23,5,111,234,2,2,0,2,.,1,3,,
63,-18.408,10.303,3,6,400,558,2,2,0,2,.,1,3,,
64,-43.921,63.251,10,22,91,214,2,2,0,2,.,1,3,,
65,11.353,26.221,23,13,109,269,2,2,0,2,.,1,3,,
66,-6.995,38.239,23,17,324,468,2,2,0,2,.,1,3,,
67,74.084,-34.216,20,5,203,335,2,2,0,2,.,1,3,,
68,14.301,-0.8,5,7,176,350,2,2,0,2,.,1,3,,
69,-94.141,-48.779,14,1,86,216,2,2,0,2,.,1,3,,
70,15.332,-42.169,1,3,315,416,2,2,0,2,.,1,3,,
71,-46.637,-16.461,10,10,355,448,2,2,0,2,.,1,3,,
72,-0.958,-81,3,5,243,422,2,2,0,2,.,1,3,,
73,-37.445,-42.505,4,1,420,577,1,4,0,.,1,.,2,.,3
74,-3.68,-69.073,23,17,324,457,1,4,0,.,1,.,2,.,3
