MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,5,288,425,170,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,12.805,1.886,15,10,241,338
2,18.213,1.373,7,21,136,290
3,57.947,-48.779,10,8,208,382
4,-52.429,-84.088,20,23,167,322
5,60.797,-32.593,11,10,369,493
6,23.151,4.205,7,9,322,426
7,25.385,22.986,14,21,145,319
8,25.513,-52.985,15,16,240,410
9,-49.261,-41.718,8,21,81,199
10,-37.561,-41.73,5,3,395,527
11,-14.52,48.962,17,24,303,442
12,41.229,-24.5,1,2,394,488
13,-21.863,0.916,3,4,237,332
14,-48.181,-16.284,8,18,201,344
15,-7.776,44.348,14,5,142,249
16,20.801,10.76,3,13,128,266
17,-29.712,-46.326,6,13,204,298
18,-20.203,-59.564,23,14,272,415
19,-87.079,-52.899,14,10,263,370
20,3.046,-6.305,1,3,258,434
21,11.865,5.261,2,1,118,224
22,-24.072,-55.927,17,11,400,548
23,-22.803,5.658,15,16,127,247
24,-51.904,9.412,18,6,101,199
25,12.732,-40.967,15,18,362,524
26,-30.988,7.654,7,11,469,639
27,37.512,0.458,4,15,137,255
28,2.954,-8.563,24,17,274,427
29,0.549,3.644,18,17,368,514
30,-52.484,9.711,2,1,182,291
31,33.936,-48.718,4,1,93,193
32,-13.129,-53.601,11,18,195,308
33,-99.591,23.303,25,3,90,226
34,6.439,-3.516,15,21,209,376
35,-14.032,-19.818,18,22,324,433
36,-24.677,16.608,9,14,355,484
37,-10.26,-81.769,23,4,373,475
38,35.858,5.597,22,17,132,301
39,-11.603,42.908,9,16,464,612
40,-34.662,-15.466,20,8,134,280
41,66.852,1.135,13,14,128,259
42,6.866,-1.416,3,23,329,473
43,1.66,-2.234,6,1,473,563
44,37.561,11.45,18,21,390,495
45,51.672,-26.343,9,10,376,484
46,19.025,-10.889,24,19,226,386
47,-37.982,-6.36,19,6,151,262
48,-56.537,-42.334,11,4,328,470
49,1.099,-14.624,14,18,476,572
50,-56.238,-3.076,15,23,83,240
51,-23.669,-15.289,5,25,477,604
52,-34.277,-1.41,18,17,403,547
53,-64.178,63.812,22,11,383,557
54,-47.083,-20.386,13,20,400,529
55,-33.71,8.38,11,9,69,185
56,34.29,26.031,11,23,347,447
57,-38.861,42.114,1,14,133,300
58,-92.731,44.885,25,7,236,346
59,23.633,27.643,19,15,209,366
60,-67.139,-67.078,13,22,287,377
61,25.726,-25.836,7,4,316,492
62,-40.985,-16.895,2,14,291,444
63,77.008,-6.097,16,24,353,459
64,-54.81,-1.935,2,13,344,502
65,-53.943,-29.663,1,9,194,307
66,16.089,-27.887,19,3,281,393
67,-59.436,36.487,24,23,108,259
68,34.473,25.391,19,2,386,485
69,-9.283,-6.689,24,23,172,285
70,-85.559,-20.477,10,8,236,378
71,29.523,18.347,19,23,99,201
72,27.814,6.512,1,13,367,493
73,42.151,-25.58,19,25,228,365
74,82.202,85.828,25,25,281,380
75,-47.766,-35.59,24,20,65,172
76,22.015,-20.349,11,9,389,565
77,-55.756,-33.49,7,15,180,275
78,62.006,-1.453,25,4,163,265
79,25.549,-3.796,3,1,458,555
80,-43.372,-7.379,3,7,100,210
81,60.297,52.637,18,12,112,255
82,-96.155,34.1,18,5,181,276
83,-32.806,-3.845,9,8,430,554
84,-47.827,-45.203,21,1,330,494
85,-31.128,-93.848,21,24,117,272
86,-17.01,-21.857,21,23,179,298
87,-8.386,-2.264,11,12,175,314
88,35.834,13.147,2,2,280,418
89,29.315,54.468,4,22,195,371
90,48.352,-8.783,3,3,386,500
91,-2.93,27.039,8,12,65,192
92,-16.62,-55.389,20,16,321,414
93,-40.851,-47.742,23,8,311,455
94,-12.878,-2.039,15,25,298,471
95,-51.776,7.281,3,6,368,504
96,-32.922,23.828,14,24,333,482
97,13.983,-34.521,8,16,190,330
98,-35.834,-23.834,4,7,245,388
99,91.858,5.542,19,9,282,402
100,-28.442,-34.18,6,23,297,465
101,33.844,27.875,1,24,110,284
102,98.431,31.348,2,19,182,305
103,-57.751,-27.753,3,9,63,183
104,-43.89,13.007,24,10,212,373
105,37.585,49.768,6,23,173,320
106,-3.687,7.373,14,2,301,437
107,-98.242,61.658,22,5,379,557
108,-23.56,-32.52,14,25,165,294
109,22.98,-18.109,7,17,149,302
110,43.915,-2.985,13,23,140,289
111,71.509,11.652,19,23,132,270
112,-43.011,-38.702,6,13,137,311
113,-83.954,2.179,4,2,323,469
114,11.09,-40.942,17,24,351,529
115,27.173,-13.33,17,22,323,487
116,-86.102,-59.808,13,20,390,530
117,-22.345,-78.278,21,15,398,531
118,-38.727,-33.588,8,12,443,548
119,-1.227,-28.668,7,17,93,253
120,81.329,-44.244,15,21,329,480
121,51.904,19.891,5,10,235,414
122,-34.973,-27.856,6,4,445,563
123,-51.483,-23.248,17,21,61,233
124,-0.647,-46.057,4,3,464,607
125,68.219,-66.986,25,17,327,452
126,-15.149,-25.482,11,19,223,369
127,22.412,-34.375,17,10,362,512
128,36.176,-10.431,17,21,328,433
129,-23.639,-47.681,2,21,341,448
130,-14.722,32.684,7,6,202,298
131,16.821,-12.72,16,8,101,248
132,93.378,23.004,2,8,331,457
133,40.344,-24.176,12,13,321,491
134,5.53,-4.901,7,7,151,320
135,-78.015,1.27,19,11,319,467
136,51.569,-45.673,16,18,414,585
137,49.249,-30.896,17,10,386,516
138,-62.195,-21.399,8,25,227,398
139,-5.048,7.306,24,7,408,562
140,1.727,-70.221,10,17,120,223
141,1.361,-3.564,20,20,155,308
142,-15.521,16.425,8,18,72,238
143,-31.604,-60.938,6,21,135,305
144,-46.997,-55.56,5,14,80,231
145,2.301,5.536,23,2,428,579
146,-30.328,-0.58,14,18,170,299
147,-16.821,17.664,23,10,145,324
148,52.655,29.034,13,5,303,409
149,-11.993,-83.771,12,15,414,564
150,41.632,43.048,13,17,425,548
151,8.508,-2.539,20,12,100,204
152,31.512,-8.978,14,14,292,418
153,-3.339,-36.243,6,3,150,272
154,-26.379,13.776,4,7,145,252
155,28.43,10.571,13,21,344,465
156,5.975,27.289,1,7,173,349
157,-32.135,-45.068,9,5,133,280
158,31.097,-7.916,5,24,299,394
159,28.198,-29.755,7,13,352,502
160,-39.612,-33.594,4,18,287,378
161,-19.22,-5.133,12,19,282,410
162,-10.114,69.977,20,22,461,584
163,22.894,-44.348,20,13,289,431
164,-34.741,0.58,14,10,105,272
165,-44.952,-77.734,11,4,308,426
166,-23.749,-56.012,1,17,112,222
167,69.073,-97.125,5,2,200,290
168,12.17,-59.869,1,18,247,366
169,47.339,17.365,14,2,240,338
170,-4.706,14.056,19,18,106,270
171,-52.374,-50.244,16,13,194,307
172,39.215,-29.773,21,24,446,545
173,-42.316,-60.602,9,25,279,382
174,19.135,41.15,1,2,87,241
175,-54.706,-17.596,18,2,378,552
176,11.737,-83.173,7,7,201,374
177,-40.582,-53.247,15,23,377,536
178,-6.421,21.967,21,21,264,432
179,-31.268,-34.613,4,18,94,237
180,-3.668,-26.868,21,21,419,564
181,13.409,-22.302,10,23,405,517
182,-95.892,-86.322,16,16,410,569
183,88.983,-53.387,21,22,265,386
184,-55.048,-32.538,7,11,180,273
185,27.85,-10.028,8,22,467,641
186,40.918,-36.09,6,10,269,375
187,-58.35,15.814,23,15,430,550
188,-52.161,-74.725,18,23,377,547
189,-66.772,-34.943,6,7,123,229
190,-33.374,-62.024,6,1,128,305
191,-8.649,31.708,14,21,142,239
192,-26.166,-56.152,14,11,375,501
193,-39.874,-53.375,22,2,280,371
194,71.643,-36.981,22,24,283,433
195,-96.924,8.411,25,25,102,251
196,-2.911,36.2,13,17,284,452
197,-53.253,14.099,21,10,204,374
198,67.316,-39.734,14,18,245,338
199,-6.525,11.975,18,2,88,252
200,16.425,33.221,18,12,454,556
201,-19.061,-56.921,11,4,156,264
202,25.189,-21.045,10,1,198,319
203,37.854,-5.524,15,1,408,585
204,-16.479,48.657,3,6,287,452
205,2.344,-16.516,2,22,392,537
206,-48.621,-12.39,12,25,103,259
207,-42.621,-50.006,18,21,140,317
208,16.016,11.169,1,18,141,288
209,-80.408,-60.583,3,14,331,458
210,-95.068,44.293,4,21,209,318
211,-6.885,24.884,12,4,161,330
212,-4.803,21.674,15,1,459,572
213,7.037,-45.337,22,18,399,547
214,31.293,-39.905,20,4,473,631
215,14.984,26.172,16,4,446,583
216,33.203,-52.289,11,5,211,339
217,-59.277,39.667,20,15,246,347
218,30.054,-36.823,13,5,131,232
219,9.351,-39.044,9,22,467,646
