Category,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days
VRPTW,3,24,500,200,1,1
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-29.73,64.136,2,12,354,509
2,-30.664,5.463,7,8,234,401
3,51.642,5.469,21,16,411,573
4,-13.171,69.336,24,5,474,622
5,-67.413,68.323,1,12,155,295
6,48.907,6.274,17,5,361,509
7,5.243,22.26,6,13,451,629
8,-65.002,77.234,5,20,425,588
9,-4.175,-1.569,7,13,72,199
10,23.029,11.639,1,18,157,318
11,25.482,6.287,4,7,296,444
12,-42.615,-26.392,10,6,111,249
13,-76.672,99.341,2,9,368,528
14,-20.673,57.892,16,9,98,251
15,-41.376,50.824,18,25,382,535
16,-91.943,27.588,3,5,436,580
17,-65.118,30.212,15,17,405,528
18,-37.756,-33.325,4,25,298,408
19,-43.03,20.453,20,14,376,536
20,-54.755,14.368,4,14,360,505
21,-49.329,33.374,2,6,379,528
22,-16.779,19.537,7,10,423,564
23,29.84,11.633,9,25,289,450
24,-37.933,-21.613,10,21,123,302
25,-10.442,19.999,0,0,0,1000
