PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,12,192,440,185,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,-44.629,-55.64,6,11,90,444,4,1,0,1,2,3,,,
2,36.096,64.935,16,11,63,260,4,1,0,1,2,3,,,
3,-25.47,44.58,7,23,143,371,4,1,0,1,2,3,,,
4,-33.954,-73.059,20,16,106,291,4,1,0,1,2,3,,,
5,45.654,35.73,7,16,169,501,4,1,0,1,2,3,,,
6,14.954,-36.719,8,2,63,375,4,1,0,1,2,3,,,
7,-1.477,47.205,4,1,141,405,4,1,0,1,2,3,,,
8,2.155,-40.912,23,25,191,497,4,1,0,1,2,3,,,
9,22.992,1.398,4,24,251,580,4,1,0,1,2,3,,,
10,-28.857,5.957,5,14,168,505,4,1,0,1,2,3,,,
11,-48.12,94.116,15,6,298,583,4,1,0,1,2,3,,,
12,7.239,17.322,12,20,253,503,4,1,0,1,2,3,,,
13,4.614,27.051,12,10,226,518,4,1,0,1,2,3,,,
14,-13.971,28.198,18,11,68,352,4,1,0,1,2,3,,,
15,12.946,-11.688,19,2,294,639,4,1,0,1,2,3,,,
16,-36.67,23.102,17,22,200,431,4,1,0,1,2,3,,,
17,-4.224,-49.31,2,2,215,544,4,1,0,1,2,3,,,
18,1.093,-7.135,15,12,94,291,4,1,0,1,2,3,,,
19,-56.958,27.905,10,9,78,287,4,1,0,1,2,3,,,
20,-80.994,-77.686,3,21,64,344,4,1,0,1,2,3,,,
21,72.26,59.027,24,10,223,553,4,1,0,1,2,3,,,
22,-21.655,1.636,1,13,180,361,4,1,0,1,2,3,,,
23,-20.154,-62.415,22,25,234,507,4,1,0,1,2,3,,,
24,-48.157,6.287,22,9,262,462,4,1,0,1,2,3,,,
25,-5.078,61.597,17,19,246,439,4,1,0,1,2,3,,,
26,17.145,-47.046,7,22,220,521,4,1,0,1,2,3,,,
27,-16.064,8.557,11,4,143,346,4,1,0,1,2,3,,,
28,6.683,-27.069,4,4,149,473,4,1,0,1,2,3,,,
29,15.027,-34.979,15,7,101,400,4,1,0,1,2,3,,,
30,37.946,73.914,15,20,174,374,4,1,0,1,2,3,,,
31,-41.199,-43.018,9,17,206,548,4,1,0,1,2,3,,,
32,32.538,11.786,15,19,140,489,4,1,0,1,2,3,,,
33,-20.306,-20.239,1,12,194,449,4,1,0,1,2,3,,,
34,-35.48,19.135,13,2,128,350,4,1,0,1,2,3,,,
35,58.038,56.659,17,13,189,497,4,1,0,1,2,3,,,
36,-36.694,-6.256,17,24,198,419,4,1,0,1,2,3,,,
37,0.446,-46.735,25,22,91,311,4,1,0,1,2,3,,,
38,-19.69,38.977,5,17,95,350,4,1,0,1,2,3,,,
39,-47.339,20.911,25,19,190,546,4,1,0,1,2,3,,,
40,-79.236,-57.678,2,4,219,406,4,1,0,1,2,3,,,
41,5.597,-34.076,9,12,183,512,4,1,0,1,2,3,,,
42,34.454,-8.289,7,22,257,531,4,1,0,1,2,3,,,
43,18.5,-51.154,5,2,118,405,4,1,0,1,2,3,,,
44,-4.346,-44.525,3,19,143,343,4,1,0,1,2,3,,,
45,-14.148,-74.164,17,3,200,548,4,1,0,1,2,3,,,
46,19.867,77.515,12,5,226,446,4,1,0,1,2,3,,,
47,-50.079,17.871,21,22,120,352,4,1,0,1,2,3,,,
48,42.786,-79.883,18,6,275,556,4,1,0,1,2,3,,,
49,1.52,-29.034,8,9,98,415,2,2,0,2,.,1,3,,
50,14.728,-3.436,14,8,189,503,2,2,0,2,.,1,3,,
51,-26.166,-48.999,22,24,246,478,2,2,0,2,.,1,3,,
52,-63.873,-5.273,16,15,137,375,2,2,0,2,.,1,3,,
53,-54.138,7.086,21,16,187,527,2,2,0,2,.,1,3,,
54,17.932,-34.094,7,9,103,460,2,2,0,2,.,1,3,,
55,-98.706,34.552,12,1,90,344,2,2,0,2,.,1,3,,
