MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,1,72,500,200,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-92.7,-59.18,8,20,94,327
2,71.179,12.543,15,6,206,531
3,31.537,66.638,20,19,294,651
4,-4.694,25.537,7,10,261,563
5,-30.194,67.773,13,18,85,406
6,12.677,-57.471,6,1,87,309
7,-32.355,-20.966,5,15,104,439
8,19.91,48.975,1,23,226,449
9,13.202,-19.135,12,13,270,551
10,54.877,-41.168,18,12,268,599
11,15.063,-25.171,25,7,127,351
12,-50.598,-16.418,14,25,139,340
13,-29.73,17.078,18,5,126,481
14,17.542,1.575,13,1,192,453
15,11.127,77.216,6,25,155,467
16,33.752,71.259,14,10,195,379
17,-56.012,-10.394,10,2,151,403
18,57.874,-16.29,18,7,298,578
19,10.718,-18.787,8,11,272,490
20,53.088,-18.75,6,4,221,529
21,1.569,7.532,2,6,196,544
22,31.531,48.944,4,15,219,411
23,-66.833,-37.854,4,7,73,332
24,-70.74,62.244,23,8,82,303
25,32.538,23.096,12,10,282,630
26,-51.453,-36.444,24,9,195,550
27,36.456,-22.638,17,4,128,405
28,-31.207,43.494,18,6,186,537
29,-10.388,34.491,25,22,72,335
30,14.722,-10.834,22,17,178,512
31,47.095,-21.387,10,9,180,433
32,43.781,34.766,25,25,144,430
33,53.546,-67.487,21,10,113,400
34,26.801,46.515,21,18,226,465
35,63.385,11.981,16,21,66,411
36,47.192,-5.475,23,10,173,357
37,-16.315,-11.267,21,23,283,573
38,78.9,17.651,15,23,261,489
39,79.822,22.272,7,11,254,446
40,12.878,16.919,20,1,179,538
41,-67.981,-3.754,6,23,253,440
42,9.198,-18.597,16,16,165,524
43,-35.95,-19.141,10,10,72,425
44,28.766,45.276,7,12,142,452
45,11.469,68.231,20,12,277,564
46,-22.76,45.496,9,3,203,439
47,-65.674,-23.12,12,22,97,402
48,7.239,1.599,10,21,96,340
49,-29.785,-11.285,19,13,155,513
50,-89.05,16.211,6,15,96,340
51,-46.887,-3.363,14,13,85,280
52,-14.972,30.621,23,20,212,448
53,-17.035,49.774,8,10,197,488
54,31.635,53.619,10,25,101,359
55,-3.577,13.342,14,7,104,337
56,33.008,58.96,3,15,243,511
57,-92.95,63.263,25,2,129,329
58,-9.137,-22.931,21,23,267,563
59,-39.96,6.195,5,5,81,325
60,28.43,-19.214,2,25,264,512
61,-28.54,-3.485,3,9,243,563
62,31.415,36.859,21,2,256,508
63,-49.426,60.602,1,24,155,423
64,-72.827,-27.765,25,13,298,478
65,60.083,-45.905,21,20,234,577
66,10.87,-3.9,21,13,218,552
67,25.122,7.672,25,15,164,417
68,-46.997,-17.474,14,4,276,592
69,16.058,33.02,20,20,291,642
70,25.409,-11.7,14,8,69,277
71,68.323,-5.145,11,19,181,429
72,-13.104,62.158,25,20,81,286
73,42.395,-8.344,0,0,0,1000
74,-42.175,-14.554,0,0,0,1000
75,16.034,40.726,0,0,0,1000
76,-14.639,29.633,0,0,0,1000
77,16.049,-3.934,0,0,0,1000
78,46.112,12.43,0,0,0,1000
