MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,1,48,500,200,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-29.73,64.136,2,12,276,548
2,-30.664,5.463,7,8,98,438
3,51.642,5.469,21,16,91,330
4,-13.171,69.336,24,5,177,505
5,-67.413,68.323,1,12,282,581
6,48.907,6.274,17,5,262,445
7,5.243,22.26,6,13,223,458
8,-65.002,77.234,5,20,109,352
9,-4.175,-1.569,7,13,262,588
10,23.029,11.639,1,18,150,447
11,25.482,6.287,4,7,214,450
12,-42.615,-26.392,10,6,293,639
13,-76.672,99.341,2,9,157,452
14,-20.673,57.892,16,9,172,458
15,-52.039,6.567,23,4,233,442
16,-41.376,50.824,18,25,152,333
17,-91.943,27.588,3,5,158,385
18,-65.118,30.212,15,17,106,456
19,18.597,96.716,13,3,180,363
20,-40.942,83.209,10,16,62,297
21,-37.756,-33.325,4,25,110,468
22,23.767,29.083,23,21,242,553
23,-43.03,20.453,20,14,91,376
24,-35.297,-24.896,10,19,246,487
25,-54.755,14.368,4,14,202,382
26,-49.329,33.374,2,6,200,446
27,57.404,23.822,23,16,161,377
28,-22.754,55.408,6,9,247,579
29,-56.622,73.34,8,20,73,407
30,-38.562,-3.705,10,13,250,442
31,-16.779,19.537,7,10,125,451
32,-11.56,11.615,1,16,167,368
33,-46.545,97.974,21,19,162,506
34,16.229,9.32,6,22,75,266
35,1.294,7.349,4,14,182,507
36,-26.404,29.529,13,10,79,289
37,4.352,14.685,9,11,274,558
38,-50.665,-23.126,22,15,267,578
39,-22.833,-9.814,22,13,80,392
40,-71.1,-18.616,18,15,246,570
41,-7.849,32.074,10,8,150,419
42,11.877,-24.933,25,22,74,359
43,-18.927,-23.73,23,24,215,555
44,-11.92,11.755,4,3,232,510
45,29.84,11.633,9,25,130,408
46,12.268,-55.811,17,19,271,482
47,-37.933,-21.613,10,21,176,495
48,42.883,-2.966,17,10,262,521
49,4.163,13.559,0,0,0,1000
50,21.387,17.105,0,0,0,1000
51,-36.118,49.097,0,0,0,1000
52,-31.201,0.235,0,0,0,1000
