MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,6,240,420,180,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,65.991,-49.829,20,10,422,555
2,-36.938,-36.743,20,25,128,256
3,-2.734,18.774,13,18,122,271
4,31.116,-35.907,13,16,141,286
5,2.789,8.008,17,14,106,199
6,31.152,43.665,24,7,92,212
7,-36.304,-21.307,15,9,345,487
8,52.814,35.046,12,16,366,470
9,11.267,20.66,20,24,127,225
10,-0.623,23.114,20,6,179,292
11,43.091,-12.36,3,22,308,401
12,6.854,19.073,8,11,139,234
13,-6.848,25.317,16,19,306,406
14,-27.93,-23.712,20,20,465,566
15,33.24,-30.487,21,20,422,523
16,63.885,-52.881,23,16,305,404
17,-13.672,-43.945,21,5,151,301
18,-0.647,-27.502,3,21,455,587
19,59.406,-49.261,19,19,107,233
20,27.167,-5.713,20,18,221,316
21,70.001,-20.844,7,22,329,454
22,35.327,-65.167,14,19,384,490
23,-14.386,-42.236,24,15,79,175
24,19.366,30.273,3,24,76,173
25,-39.789,10.101,13,20,297,433
26,-15.753,-40.204,1,17,358,514
27,-28.418,-40.503,5,20,375,521
28,27.081,9.735,2,12,218,364
29,22.205,-9.216,9,23,87,235
30,-0.83,-6.525,18,15,289,439
31,10.217,75.531,5,19,432,603
32,7.446,18.5,12,23,433,581
33,48.914,-20.294,11,9,360,450
34,-18.958,-29.675,17,21,194,333
35,16.815,-6.659,21,17,373,503
36,2.509,-30.42,5,6,429,536
37,15.424,4.913,5,10,298,473
38,60.315,89.801,7,9,445,557
39,40.405,-45.367,24,19,134,248
40,-26.837,-54.272,1,17,267,395
41,69.171,72.577,12,22,76,254
42,-22.815,46.173,6,8,281,426
43,-14.258,-30.249,5,25,232,409
44,76.05,12.073,19,13,317,492
45,63.043,60.022,23,1,333,424
46,-20.239,-81.97,8,15,474,608
47,-41.168,-42.023,1,16,364,478
48,79.199,-29.016,20,20,329,467
49,-20.728,-7.068,16,14,330,429
50,-4.163,-53.497,8,2,478,585
51,39.594,-40.46,16,5,66,239
52,-47.125,-77.85,25,16,126,239
53,-1.233,49.182,5,12,264,403
