PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
PVRPTW,10,144,475,190,1,6,,,,,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,,,,,
1,-40.289,-42.303,6,20,399,560,6,1,0,1,2,3,4,5,,,,,
2,-64.709,-17.389,3,10,463,571,6,1,0,1,2,3,4,5,,,,,
3,5.06,-14.349,23,8,391,505,6,1,0,1,2,3,4,5,,,,,
4,72.095,20.233,1,6,262,437,6,1,0,1,2,3,4,5,,,,,
5,2.594,-15.002,18,1,102,223,6,1,0,1,2,3,4,5,,,,,
6,-24.176,-72.894,8,19,330,475,6,1,0,1,2,3,4,5,,,,,
7,-13.19,66.498,2,13,248,416,6,1,0,1,2,3,4,5,,,,,
8,33.191,13.69,9,24,333,468,6,1,0,1,2,3,4,5,,,,,
9,66.827,-30.554,1,15,274,379,6,1,0,1,2,3,4,5,,,,,
10,19.934,35.883,20,13,379,472,6,1,0,1,2,3,4,5,,,,,
11,-27.771,32.269,23,10,214,340,6,1,0,1,2,3,4,5,,,,,
12,51.154,-16.827,22,4,232,323,6,1,0,1,2,3,4,5,,,,,
13,-19.214,23.749,24,12,401,507,6,1,0,1,2,3,4,5,,,,,
14,-46.643,-52.954,21,21,213,380,6,1,0,1,2,3,4,5,,,,,
15,-10.59,-16.626,18,2,366,518,6,1,0,1,2,3,4,5,,,,,
16,35.15,12.622,21,10,427,594,6,1,0,1,2,3,4,5,,,,,
17,-37.378,12.256,7,20,166,284,6,1,0,1,2,3,4,5,,,,,
18,82.794,25.836,4,9,184,292,6,1,0,1,2,3,4,5,,,,,
19,8.936,-3.723,21,24,462,627,6,1,0,1,2,3,4,5,,,,,
20,-56.659,25.555,13,19,118,245,6,1,0,1,2,3,4,5,,,,,
21,-52.02,-40.137,18,13,388,514,6,1,0,1,2,3,4,5,,,,,
22,39.27,12.787,4,14,72,209,6,1,0,1,2,3,4,5,,,,,
23,19.757,21.228,3,17,432,542,6,1,0,1,2,3,4,5,,,,,
24,-23.071,-12.659,12,25,288,401,6,1,0,1,2,3,4,5,,,,,
25,15.686,52.374,5,1,142,258,6,1,0,1,2,3,4,5,,,,,
26,58.771,-7.056,8,9,220,358,6,1,0,1,2,3,4,5,,,,,
27,-33.087,72.266,14,12,406,577,6,1,0,1,2,3,4,5,,,,,
28,2.551,46.851,10,22,414,578,6,1,0,1,2,3,4,5,,,,,
29,-18.719,73.126,14,2,108,242,6,1,0,1,2,3,4,5,,,,,
30,-67.627,-20.679,19,21,104,233,6,1,0,1,2,3,4,5,,,,,
31,-76.862,-11.365,20,8,264,388,6,1,0,1,2,3,4,5,,,,,
32,-24.194,-38.263,21,19,153,273,6,1,0,1,2,3,4,5,,,,,
33,-20.374,-31.903,11,24,421,519,6,1,0,1,2,3,4,5,,,,,
34,9.29,39.618,14,24,211,357,6,1,0,1,2,3,4,5,,,,,
35,26.044,35.974,6,2,398,554,6,1,0,1,2,3,4,5,,,,,
36,-57.385,-45.264,7,20,145,252,6,1,0,1,2,3,4,5,,,,,
37,1.489,-62.592,3,20,147,245,3,2,0,2,4,.,1,3,5,,,,
38,34.937,13.672,22,5,74,231,3,2,0,2,4,.,1,3,5,,,,
39,-22.29,45.648,21,17,317,416,3,2,0,2,4,.,1,3,5,,,,
40,-5.92,44.061,12,4,235,387,3,2,0,2,4,.,1,3,5,,,,
41,-38.446,-23.541,1,21,479,576,3,2,0,2,4,.,1,3,5,,,,
42,28.894,33.936,11,3,472,570,3,2,0,2,4,.,1,3,5,,,,
43,-35.388,-5.341,12,16,141,287,3,2,0,2,4,.,1,3,5,,,,
44,-19.501,13.519,19,14,171,273,3,2,0,2,4,.,1,3,5,,,,
45,-9.216,-30.988,8,6,327,449,3,2,0,2,4,.,1,3,5,,,,
46,-22.131,-17.065,11,5,98,223,3,2,0,2,4,.,1,3,5,,,,
47,-22.827,36.81,18,12,366,515,3,2,0,2,4,.,1,3,5,,,,
48,-61.365,-18.463,6,23,244,360,3,2,0,2,4,.,1,3,5,,,,
49,50.128,-66.046,3,12,256,375,3,2,0,2,4,.,1,3,5,,,,
50,25.647,24.139,6,18,174,264,3,2,0,2,4,.,1,3,5,,,,
51,65.521,42.81,10,24,312,440,3,2,0,2,4,.,1,3,5,,,,
52,-60.956,-47.925,7,3,197,313,3,2,0,2,4,.,1,3,5,,,,
53,-9.07,42.798,17,3,66,187,3,2,0,2,4,.,1,3,5,,,,
54,-19.061,4.48,12,25,175,303,3,2,0,2,4,.,1,3,5,,,,
55,-54.071,-3.87,11,22,300,396,3,2,0,2,4,.,1,3,5,,,,
56,-25.598,-18.866,15,25,181,344,3,2,0,2,4,.,1,3,5,,,,
57,-18.707,84.296,6,15,106,282,3,2,0,2,4,.,1,3,5,,,,
58,-70.184,-39.166,13,18,235,348,3,2,0,2,4,.,1,3,5,,,,
59,-14.636,-0.446,3,8,416,591,3,2,0,2,4,.,1,3,5,,,,
60,-76.465,-38.922,23,20,399,554,3,2,0,2,4,.,1,3,5,,,,
61,44.092,12.433,24,18,430,555,3,2,0,2,4,.,1,3,5,,,,
62,-22.772,-50.867,22,5,132,260,3,2,0,2,4,.,1,3,5,,,,
63,19.104,44.672,11,25,65,198,3,2,0,2,4,.,1,3,5,,,,
64,-44.019,-39.935,24,16,280,373,3,2,0,2,4,.,1,3,5,,,,
65,-2.972,-4.059,8,14,323,465,3,2,0,2,4,.,1,3,5,,,,
66,-24.261,35.907,22,1,323,496,3,2,0,2,4,.,1,3,5,,,,
67,-61.877,-73.901,11,15,409,522,3,2,0,2,4,.,1,3,5,,,,
68,-5.64,-26.721,6,22,113,227,3,2,0,2,4,.,1,3,5,,,,
69,45.844,-36.835,10,6,297,427,3,2,0,2,4,.,1,3,5,,,,
70,-51.746,-79.84,10,24,411,575,3,2,0,2,4,.,1,3,5,,,,
71,-33.008,10.992,20,19,453,590,3,2,0,2,4,.,1,3,5,,,,
72,-25.653,-0.372,2,12,119,228,3,2,0,2,4,.,1,3,5,,,,
73,-21.497,61.487,18,13,249,395,2,3,0,3,.,1,4,.,2,5,,,
74,2.032,26.727,8,10,67,218,2,3,0,3,.,1,4,.,2,5,,,
75,-26.758,14.807,13,12,224,325,2,3,0,3,.,1,4,.,2,5,,,
76,-37.256,-44.861,8,13,302,478,2,3,0,3,.,1,4,.,2,5,,,
77,-0.861,-16.418,8,25,88,225,2,3,0,3,.,1,4,.,2,5,,,
78,-51.16,34.967,18,12,338,458,2,3,0,3,.,1,4,.,2,5,,,
79,-41.266,-76.886,17,2,109,262,2,3,0,3,.,1,4,.,2,5,,,
80,-30.255,74.701,10,11,248,379,2,3,0,3,.,1,4,.,2,5,,,
81,-46.368,-1.514,23,10,318,476,2,3,0,3,.,1,4,.,2,5,,,
82,-71.619,73.077,3,9,263,362,2,3,0,3,.,1,4,.,2,5,,,
83,-46.606,-39.948,25,21,145,268,2,3,0,3,.,1,4,.,2,5,,,
84,-30.243,67.102,4,14,141,261,2,3,0,3,.,1,4,.,2,5,,,
85,-40.997,-43.036,25,15,452,542,2,3,0,3,.,1,4,.,2,5,,,
86,-74.286,-52.307,5,6,172,288,2,3,0,3,.,1,4,.,2,5,,,
87,-17.609,-71.851,9,25,98,254,2,3,0,3,.,1,4,.,2,5,,,
88,2.35,-81.805,18,14,452,552,2,3,0,3,.,1,4,.,2,5,,,
89,-85.486,-54.059,16,17,331,437,2,3,0,3,.,1,4,.,2,5,,,
90,23.822,10.571,16,8,302,402,2,3,0,3,.,1,4,.,2,5,,,
91,-24.53,-31.726,22,4,327,439,2,3,0,3,.,1,4,.,2,5,,,
92,-42.474,-15.009,2,17,329,495,2,3,0,3,.,1,4,.,2,5,,,
93,-33.624,50.33,22,23,115,209,2,3,0,3,.,1,4,.,2,5,,,
94,-81.458,-41.565,11,4,207,299,2,3,0,3,.,1,4,.,2,5,,,
95,-73.505,-48.279,24,4,75,253,2,3,0,3,.,1,4,.,2,5,,,
96,-3.052,70.898,17,9,124,221,2,3,0,3,.,1,4,.,2,5,,,
97,0.946,25.458,12,9,236,335,2,3,0,3,.,1,4,.,2,5,,,
98,-54.144,13.525,1,19,216,335,2,3,0,3,.,1,4,.,2,5,,,
99,-30.634,7.526,23,12,329,490,2,3,0,3,.,1,4,.,2,5,,,
100,-68.335,-34.277,4,25,93,204,2,3,0,3,.,1,4,.,2,5,,,
101,7.178,57.935,15,8,446,622,2,3,0,3,.,1,4,.,2,5,,,
102,4.712,48.669,15,13,308,420,2,3,0,3,.,1,4,.,2,5,,,
