16,,,,,,,,,,,,,,,,,,,
1,193,177,121,67,56,42,61,156,191,75,126,118,141,193,,,,,#
1,193,68,104,9,32,65,117,165,89,152,193,,,,,,,,#
1,193,154,180,161,18,90,153,189,15,50,71,82,193,,,,,,#
1,193,148,174,35,21,181,76,192,5,95,80,176,131,13,12,193,,,#
2,194,137,38,14,70,74,72,155,81,7,188,123,194,,,,,,#
2,194,125,149,108,57,122,11,111,107,133,178,194,,,,,,,#
2,194,173,150,60,2,30,172,46,183,116,142,110,25,73,79,194,,,#
2,194,58,128,59,97,129,145,157,3,194,,,,,,,,,#
3,195,19,55,159,127,132,85,52,160,162,53,64,24,134,93,195,,,#
3,195,113,27,138,66,106,135,190,186,91,195,,,,,,,,#
3,195,47,39,109,167,130,139,16,34,195,,,,,,,,,#
3,195,10,36,187,168,33,171,99,115,69,22,98,77,62,195,,,,#
4,196,175,96,169,6,29,54,136,84,28,83,41,94,124,49,63,144,196,#
4,196,163,143,88,101,182,51,120,4,158,170,45,87,17,185,37,196,,#
4,196,8,119,23,86,1,105,20,40,147,31,140,151,164,112,196,,,#
4,196,100,26,114,43,102,166,48,179,103,146,184,78,92,44,196,,,#
