MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,3,144,460,190,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-55.28,-24.371,25,9,204,515
2,-48.297,53.314,13,22,203,424
3,-49.072,-38.489,20,10,169,352
4,25.311,-18.561,16,24,108,433
5,-24.469,-3.815,4,25,235,447
6,24.591,-17.896,2,6,296,573
7,-10.419,60.364,7,22,268,566
8,38.177,-35.175,15,1,221,401
9,-68.28,93.073,10,19,190,374
10,-30.792,-57.336,4,19,290,490
11,-37.061,-12.122,19,5,225,502
12,-15.741,-47.638,10,9,196,434
13,-63.379,-22.919,15,8,101,319
14,-43.109,-43.439,4,14,139,386
15,-25.623,13.599,17,4,251,592
16,-2.625,16.632,4,7,256,572
17,-41.577,-28.497,3,10,277,488
18,2.081,12.885,9,22,169,436
19,3.925,-47.845,25,17,123,364
20,-83.295,26.324,14,10,208,419
21,-6.458,26.355,23,8,172,434
22,3.29,6.732,7,14,213,428
23,-34.869,30.426,7,12,200,502
24,15.546,-36.273,1,17,122,450
25,12.842,5.127,10,19,115,431
26,-48.45,-24.426,15,25,156,350
27,-88.538,-10.461,1,25,258,460
28,-29.773,0.995,2,6,263,498
29,9.827,38.416,9,21,120,349
30,1.41,92.938,10,3,215,418
31,-79.303,15.381,2,19,200,538
32,-30.652,40.063,23,16,274,602
33,18.927,21.637,15,21,109,377
34,45.087,-59.906,13,17,221,535
35,-34.949,-3.815,16,19,274,465
36,81.201,-74.744,21,6,246,583
37,15.594,-28.455,1,10,113,348
38,-72.192,29.547,18,22,80,276
39,-42.914,-22.675,17,17,285,472
40,-76.392,-57.489,13,16,81,309
41,-28.54,12.073,5,5,187,466
42,-61.389,26.526,23,1,196,521
43,-8.472,12.616,20,21,230,436
44,-61.475,33.392,1,20,261,546
45,-34.674,-27.588,2,6,70,408
46,10.315,-12.518,15,1,192,397
47,-83.014,77.002,20,11,170,479
48,-40.417,49.988,9,22,193,540
49,83.832,33.905,13,25,249,431
50,-20.563,-75.83,4,18,231,487
51,15.442,-18.719,15,9,89,374
52,-59.937,-65.802,5,23,117,316
53,5.151,47.815,8,17,108,356
54,46.008,14.99,19,4,157,499
55,82.977,-1.66,16,1,182,517
56,39.893,-38.916,11,14,111,325
57,90.839,-83.539,23,11,138,346
58,7.068,0.067,14,7,279,638
59,18.958,40.088,24,21,172,383
60,-80.487,58.209,5,3,261,515
61,64.459,-62.946,5,18,269,560
62,-43.616,-26.117,23,5,208,548
63,-18.408,10.303,3,6,266,482
64,-43.921,63.251,10,22,81,344
