PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days
PVRPTW,4,42,500,200,1,1
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-92.7,-59.18,8,20,91,394
2,71.179,12.543,15,6,226,479
3,31.537,66.638,20,19,246,519
4,-4.694,25.537,7,10,166,484
5,-30.194,67.773,13,18,270,625
6,12.677,-57.471,6,1,114,451
7,-32.355,-20.966,5,15,65,417
8,19.91,48.975,1,23,84,335
9,13.202,-19.135,12,13,157,393
10,54.877,-41.168,18,12,263,565
11,15.063,-25.171,25,7,261,582
12,-50.598,-16.418,14,25,189,471
13,-29.73,17.078,18,5,262,443
14,17.542,1.575,13,1,244,568
15,11.127,77.216,6,25,253,449
16,33.752,71.259,14,10,116,375
17,-56.012,-10.394,10,2,221,559
18,57.874,-16.29,18,7,274,456
19,10.718,-18.787,8,11,87,361
20,53.088,-18.75,6,4,159,496
21,31.531,48.944,4,15,94,366
22,-66.833,-37.854,4,7,288,490
23,-70.74,62.244,23,8,133,354
24,32.538,23.096,12,10,271,511
25,-51.453,-36.444,24,9,213,563
26,36.456,-22.638,17,4,252,532
27,-31.207,43.494,18,6,118,405
28,-10.388,34.491,25,22,76,343
29,47.095,-21.387,10,9,199,513
30,43.781,34.766,25,25,222,464
31,53.546,-67.487,21,10,197,402
32,26.801,46.515,21,18,69,274
33,-16.315,-11.267,21,23,211,513
34,-67.981,-3.754,6,23,242,534
35,-35.95,-19.141,10,10,278,581
36,-22.76,45.496,9,3,178,395
37,-29.785,-11.285,19,13,248,497
38,-89.05,16.211,6,15,187,501
39,31.635,53.619,10,25,132,481
40,-92.95,63.263,25,2,111,407
41,-72.827,-27.765,25,13,222,485
42,25.122,7.672,25,15,248,603
43,10.629,9.326,0,0,0,1000
