MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,4,288,425,170,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,12.805,1.886,15,10,120,382
2,18.213,1.373,7,21,213,516
3,57.947,-48.779,10,8,229,449
4,-52.429,-84.088,20,23,189,489
5,60.797,-32.593,11,10,85,396
6,23.151,4.205,7,9,250,564
7,25.385,22.986,14,21,64,321
8,25.513,-52.985,15,16,158,375
9,-49.261,-41.718,8,21,84,323
10,-37.561,-41.73,5,3,129,447
11,-14.52,48.962,17,24,266,529
12,41.229,-24.5,1,2,229,572
13,-21.863,0.916,3,4,111,413
14,-48.181,-16.284,8,18,95,454
15,-7.776,44.348,14,5,140,434
16,20.801,10.76,3,13,274,583
17,-29.712,-46.326,6,13,296,479
18,-20.203,-59.564,23,14,83,400
19,-87.079,-52.899,14,10,270,608
20,3.046,-6.305,1,3,254,463
21,11.865,5.261,2,1,98,314
22,-24.072,-55.927,17,11,233,486
23,-22.803,5.658,15,16,212,476
24,-51.904,9.412,18,6,297,592
25,12.732,-40.967,15,18,245,496
26,-30.988,7.654,7,11,296,480
27,37.512,0.458,4,15,102,399
28,2.954,-8.563,24,17,142,442
29,0.549,3.644,18,17,185,478
30,-52.484,9.711,2,1,80,284
31,33.936,-48.718,4,1,205,412
32,-13.129,-53.601,11,18,118,472
33,-99.591,23.303,25,3,202,421
34,6.439,-3.516,15,21,239,457
35,-14.032,-19.818,18,22,69,346
36,-24.677,16.608,9,14,296,552
37,-10.26,-81.769,23,4,255,454
38,35.858,5.597,22,17,263,457
39,-11.603,42.908,9,16,172,437
40,-34.662,-15.466,20,8,202,548
41,66.852,1.135,13,14,107,289
42,6.866,-1.416,3,23,160,372
43,1.66,-2.234,6,1,293,619
44,37.561,11.45,18,21,65,260
45,51.672,-26.343,9,10,269,539
46,19.025,-10.889,24,19,72,388
47,-37.982,-6.36,19,6,143,436
48,-56.537,-42.334,11,4,239,568
49,1.099,-14.624,14,18,144,491
50,-56.238,-3.076,15,23,214,546
51,-23.669,-15.289,5,25,76,269
52,-34.277,-1.41,18,17,225,558
53,-64.178,63.812,22,11,114,337
54,-47.083,-20.386,13,20,191,406
55,-33.71,8.38,11,9,218,419
56,34.29,26.031,11,23,193,546
57,-38.861,42.114,1,14,106,403
58,-92.731,44.885,25,7,75,263
59,23.633,27.643,19,15,159,370
60,-67.139,-67.078,13,22,191,426
61,25.726,-25.836,7,4,174,392
62,-40.985,-16.895,2,14,144,464
63,77.008,-6.097,16,24,178,466
64,-54.81,-1.935,2,13,156,416
65,-53.943,-29.663,1,9,209,432
66,16.089,-27.887,19,3,222,482
67,-59.436,36.487,24,23,163,355
68,34.473,25.391,19,2,270,508
69,-9.283,-6.689,24,23,219,511
70,-85.559,-20.477,10,8,71,279
71,29.523,18.347,19,23,290,612
72,27.814,6.512,1,13,193,393
73,42.151,-25.58,19,25,219,402
74,82.202,85.828,25,25,115,364
75,-47.766,-35.59,24,20,125,428
76,22.015,-20.349,11,9,70,417
77,-55.756,-33.49,7,15,214,554
78,62.006,-1.453,25,4,92,288
79,25.549,-3.796,3,1,202,439
80,-43.372,-7.379,3,7,194,447
81,60.297,52.637,18,12,266,528
82,-96.155,34.1,18,5,199,516
83,-32.806,-3.845,9,8,104,432
84,-47.827,-45.203,21,1,268,480
85,-31.128,-93.848,21,24,174,443
86,-17.01,-21.857,21,23,161,401
87,-8.386,-2.264,11,12,228,517
88,35.834,13.147,2,2,206,425
89,29.315,54.468,4,22,208,393
90,48.352,-8.783,3,3,78,425
91,-2.93,27.039,8,12,276,456
92,-16.62,-55.389,20,16,60,246
93,-40.851,-47.742,23,8,246,584
94,-12.878,-2.039,15,25,155,430
95,-51.776,7.281,3,6,244,558
96,-32.922,23.828,14,24,279,601
97,13.983,-34.521,8,16,206,405
98,-35.834,-23.834,4,7,284,558
99,91.858,5.542,19,9,297,542
100,-28.442,-34.18,6,23,134,356
101,33.844,27.875,1,24,87,323
102,98.431,31.348,2,19,201,392
103,-57.751,-27.753,3,9,253,502
104,-43.89,13.007,24,10,79,362
105,37.585,49.768,6,23,94,421
106,-3.687,7.373,14,2,205,454
107,-98.242,61.658,22,5,120,392
108,-23.56,-32.52,14,25,117,327
109,22.98,-18.109,7,17,148,463
110,43.915,-2.985,13,23,292,640
111,71.509,11.652,19,23,239,522
112,-43.011,-38.702,6,13,179,381
113,-83.954,2.179,4,2,185,534
114,11.09,-40.942,17,24,98,351
115,27.173,-13.33,17,22,81,338
116,-86.102,-59.808,13,20,108,425
117,-22.345,-78.278,21,15,87,401
118,-38.727,-33.588,8,12,132,429
119,-1.227,-28.668,7,17,252,553
120,81.329,-44.244,15,21,223,574
121,51.904,19.891,5,10,165,479
122,-34.973,-27.856,6,4,217,474
123,-51.483,-23.248,17,21,269,505
124,-0.647,-46.057,4,3,283,524
125,68.219,-66.986,25,17,61,292
126,-15.149,-25.482,11,19,187,383
127,22.412,-34.375,17,10,264,482
128,36.176,-10.431,17,21,225,480
129,-23.639,-47.681,2,21,140,485
130,-14.722,32.684,7,6,185,380
131,16.821,-12.72,16,8,139,406
132,93.378,23.004,2,8,271,542
133,40.344,-24.176,12,13,89,394
134,5.53,-4.901,7,7,98,345
135,-78.015,1.27,19,11,253,567
