62,,,,,,,,,,,,,,,,
1,0,40,18,61,35,85,222,92,15,0,,,,,,#
1,0,249,199,141,162,52,46,26,29,16,210,95,0,,,#
1,0,232,107,73,7,13,234,97,9,178,0,,,,,#
1,0,11,117,67,184,255,31,32,283,262,269,49,0,,,#
1,0,25,44,120,152,254,3,156,179,118,125,0,,,,#
1,0,39,86,43,70,158,142,48,263,224,218,281,0,,,#
1,0,168,83,145,211,126,2,96,65,64,181,0,,,,#
1,0,135,202,24,56,10,51,198,101,58,0,,,,,#
1,0,216,34,212,42,68,103,243,60,0,,,,,,#
1,0,69,276,104,59,136,140,41,112,131,72,0,,,,#
1,0,207,244,134,63,50,62,57,23,0,,,,,,#
1,0,91,14,139,12,33,30,215,19,55,133,0,,,,#
1,0,47,154,22,45,132,6,21,1,37,36,0,,,,#
1,0,277,200,8,105,20,150,28,0,,,,,,,#
1,0,176,38,17,204,54,53,4,71,27,5,171,66,0,,#
2,0,229,138,88,47,45,22,6,161,37,196,129,55,0,,#
2,0,2,62,50,63,206,94,7,61,82,0,,,,,#
2,0,78,143,230,124,121,30,33,19,0,,,,,,#
2,0,38,24,56,10,51,75,114,66,11,109,0,,,,#
2,0,39,69,205,42,68,34,286,28,0,,,,,,#
2,0,17,54,53,4,89,71,27,35,5,217,173,49,67,0,#
2,0,111,100,3,115,31,32,79,233,15,144,0,,,,#
2,0,77,25,44,258,43,70,48,285,0,,,,,,#
2,0,137,80,149,278,128,122,14,20,0,,,,,,#
2,0,116,76,84,81,106,102,74,87,261,273,60,0,,,#
2,0,8,90,213,59,119,275,110,41,256,72,0,,,,#
2,0,127,99,98,12,108,21,1,93,192,225,9,0,,,#
2,0,58,18,57,23,40,0,,,,,,,,,#
2,0,130,16,29,219,46,52,26,123,36,13,113,65,64,0,#
3,0,95,46,52,26,189,9,7,97,236,0,,,,,#
3,0,83,174,134,63,208,73,13,151,107,0,,,,,#
3,0,180,25,44,117,11,118,125,0,,,,,,,#
3,0,135,24,56,10,51,280,101,0,,,,,,,#
3,0,274,2,50,183,170,62,126,96,65,191,0,,,,#
3,0,14,91,34,68,42,103,0,,,,,,,,#
3,0,3,284,53,4,31,157,71,85,92,32,49,247,0,,#
3,0,221,17,38,54,235,27,257,193,35,5,15,272,66,0,#
3,0,29,141,37,259,36,133,0,,,,,,,,#
3,0,58,209,40,23,18,61,155,57,64,0,,,,,#
3,0,39,265,104,59,136,140,41,112,131,72,60,0,,,#
3,0,47,45,22,6,132,30,33,167,55,0,,,,,#
3,0,188,16,246,163,1,21,12,139,19,0,,,,,#
3,0,264,69,8,105,20,28,0,,,,,,,,#
3,0,86,120,43,70,142,48,186,67,0,,,,,,#
4,0,8,90,169,248,59,119,110,147,41,194,0,,,,#
4,0,24,56,226,18,0,,,,,,,,,,#
4,0,223,250,13,113,237,64,65,57,23,0,,,,,#
4,0,39,111,3,260,79,31,32,48,49,109,0,,,,#
4,0,127,99,102,98,12,108,1,21,201,121,33,228,19,0,#
4,0,159,80,116,137,74,87,0,,,,,,,,#
4,0,68,42,34,287,197,143,182,30,252,0,,,,,#
4,0,77,251,25,44,185,160,253,0,,,,,,,#
4,0,2,62,50,63,7,94,239,227,82,0,,,,,#
4,0,268,177,38,17,146,245,100,67,11,190,0,,,,#
4,0,138,88,267,195,47,45,22,6,164,37,123,36,238,0,#
4,0,114,66,282,75,15,35,187,144,148,0,,,,,#
4,0,175,279,106,81,84,76,14,78,20,60,28,0,,,#
4,0,130,16,29,26,46,52,241,129,166,55,0,,,,#
4,0,270,122,128,124,271,214,93,9,0,,,,,,#
4,0,54,53,4,240,89,71,27,5,165,288,0,,,,#
4,0,58,10,51,61,203,40,0,,,,,,,,#
4,0,153,242,231,115,70,43,266,69,220,72,172,0,,,#
