Category,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
PVRPTW,20,288,425,170,1,6,,,,,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,,,,,
1,12.805,1.886,15,10,404,527,6,1,0,1,2,3,4,5,,,,,
2,18.213,1.373,7,21,262,367,6,1,0,1,2,3,4,5,,,,,
3,57.947,-48.779,10,8,238,340,6,1,0,1,2,3,4,5,,,,,
4,-52.429,-84.088,20,23,419,559,6,1,0,1,2,3,4,5,,,,,
5,60.797,-32.593,11,10,156,249,6,1,0,1,2,3,4,5,,,,,
6,23.151,4.205,7,9,461,625,6,1,0,1,2,3,4,5,,,,,
7,25.385,22.986,14,21,257,356,6,1,0,1,2,3,4,5,,,,,
8,25.513,-52.985,15,16,473,566,6,1,0,1,2,3,4,5,,,,,
9,-49.261,-41.718,8,21,236,406,6,1,0,1,2,3,4,5,,,,,
10,-37.561,-41.73,5,3,208,365,6,1,0,1,2,3,4,5,,,,,
11,-14.52,48.962,17,24,115,222,6,1,0,1,2,3,4,5,,,,,
12,41.229,-24.5,1,2,275,434,6,1,0,1,2,3,4,5,,,,,
13,-21.863,0.916,3,4,75,188,6,1,0,1,2,3,4,5,,,,,
14,-48.181,-16.284,8,18,465,617,6,1,0,1,2,3,4,5,,,,,
15,-7.776,44.348,14,5,260,436,6,1,0,1,2,3,4,5,,,,,
16,20.801,10.76,3,13,207,305,6,1,0,1,2,3,4,5,,,,,
17,-29.712,-46.326,6,13,392,517,6,1,0,1,2,3,4,5,,,,,
18,-20.203,-59.564,23,14,445,541,6,1,0,1,2,3,4,5,,,,,
19,-87.079,-52.899,14,10,64,188,6,1,0,1,2,3,4,5,,,,,
20,3.046,-6.305,1,3,159,329,6,1,0,1,2,3,4,5,,,,,
21,11.865,5.261,2,1,398,512,6,1,0,1,2,3,4,5,,,,,
22,-24.072,-55.927,17,11,268,384,6,1,0,1,2,3,4,5,,,,,
23,-22.803,5.658,15,16,363,509,6,1,0,1,2,3,4,5,,,,,
24,-51.904,9.412,18,6,159,288,6,1,0,1,2,3,4,5,,,,,
25,12.732,-40.967,15,18,209,315,6,1,0,1,2,3,4,5,,,,,
26,-30.988,7.654,7,11,413,589,6,1,0,1,2,3,4,5,,,,,
27,37.512,0.458,4,15,272,411,6,1,0,1,2,3,4,5,,,,,
28,2.954,-8.563,24,17,331,422,6,1,0,1,2,3,4,5,,,,,
29,0.549,3.644,18,17,463,572,6,1,0,1,2,3,4,5,,,,,
30,-52.484,9.711,2,1,68,245,6,1,0,1,2,3,4,5,,,,,
31,33.936,-48.718,4,1,457,560,6,1,0,1,2,3,4,5,,,,,
32,-13.129,-53.601,11,18,159,289,6,1,0,1,2,3,4,5,,,,,
