50,,,,,,,,,,,,,,,,,,,,,
1,0,9,164,197,5,102,84,31,21,35,16,127,19,0,,,,,,,#
1,0,36,110,47,39,64,23,105,59,172,29,101,0,,,,,,,,#
1,0,67,41,6,12,26,11,52,45,28,38,98,100,27,90,0,,,,,#
1,0,3,2,56,15,20,14,141,32,1,18,143,43,4,0,,,,,,#
1,0,53,46,92,33,62,40,10,72,7,25,54,0,,,,,,,,#
1,0,30,140,68,158,139,157,184,37,144,13,161,0,,,,,,,,#
1,0,51,200,57,93,107,160,49,208,74,122,0,,,,,,,,,#
1,0,48,97,165,96,50,8,17,44,34,22,24,42,81,0,,,,,,#
2,0,86,30,41,6,88,194,168,186,82,12,26,171,11,152,115,104,83,146,0,#
2,0,27,40,70,28,55,129,91,10,66,99,38,0,,,,,,,,#
2,0,37,63,106,45,52,80,94,126,133,151,174,13,0,,,,,,,#
2,0,36,47,39,23,120,130,1,18,32,77,95,43,4,29,0,,,,,#
2,0,188,207,5,131,50,49,8,17,44,34,61,22,24,42,0,,,,,#
2,0,53,189,21,76,85,35,69,31,148,16,108,73,113,0,,,,,,#
2,0,9,138,136,134,71,116,75,114,51,48,145,183,89,0,,,,,,#
2,0,54,46,33,7,25,87,154,206,65,19,0,,,,,,,,,#
2,0,58,3,2,103,60,15,147,14,20,78,79,0,,,,,,,,#
3,0,67,150,30,68,45,52,26,12,137,11,149,177,135,119,13,0,,,,#
3,0,9,173,212,155,96,8,17,44,34,22,132,24,42,81,0,,,,,#
3,0,187,5,109,74,102,84,31,21,156,118,16,121,111,125,0,,,,,#
3,0,3,2,56,117,15,20,14,32,1,18,23,59,123,153,0,,,,,#
3,0,37,28,112,10,159,62,40,100,38,98,142,27,90,0,,,,,,#
3,0,36,47,64,39,105,43,41,6,124,162,4,167,29,101,0,,,,,#
3,0,19,53,176,46,92,128,35,7,25,72,33,211,54,203,166,0,,,,#
3,0,51,97,57,49,93,195,107,50,48,0,,,,,,,,,,#
4,0,53,46,87,76,21,31,69,35,85,7,25,33,54,0,,,,,,#
4,0,9,51,50,49,160,8,17,44,34,61,22,24,42,0,,,,,,#
4,0,110,47,39,23,143,18,1,77,32,95,88,82,12,26,104,169,0,,,#
4,0,27,40,70,10,91,66,99,38,144,216,0,,,,,,,,,#
4,0,19,65,127,16,108,73,5,122,181,75,71,48,89,0,,,,,,#
4,0,58,3,2,103,60,15,14,141,20,78,79,36,0,,,,,,,#
4,0,86,30,140,158,94,80,52,11,209,6,41,205,43,4,29,0,,,,#
4,0,191,178,37,28,55,106,45,63,198,83,139,157,13,161,0,,,,,#
5,0,37,98,193,40,28,129,10,62,100,38,27,90,0,,,,,,,#
5,0,53,154,31,84,107,93,49,57,74,201,116,134,136,0,,,,,,#
5,0,48,114,97,96,50,8,17,44,34,22,24,42,81,0,,,,,,#
5,0,54,46,92,33,72,25,7,35,21,102,148,16,204,0,,,,,,#
5,0,9,138,145,51,215,170,131,5,113,179,19,0,,,,,,,,#
5,0,30,68,152,202,11,12,26,45,52,115,126,133,146,151,13,0,,,,#
5,0,67,4,41,6,32,18,1,43,105,39,64,36,0,,,,,,,#
5,0,47,3,2,56,15,147,14,20,130,120,23,59,29,101,0,,,,,#
6,0,58,3,2,103,61,196,185,44,34,22,132,24,42,0,,,,,,#
6,0,53,46,87,121,118,76,21,156,16,73,108,111,65,125,0,,,,,#
6,0,27,210,40,70,159,10,91,213,112,66,99,38,142,192,0,,,,,#
6,0,86,190,30,4,43,1,95,77,32,18,39,180,123,29,0,,,,,#
6,0,150,124,162,41,6,88,82,137,12,26,11,149,135,119,0,,,,,#
6,0,9,19,5,109,31,69,182,35,128,85,7,25,33,54,0,,,,,#
6,0,48,51,49,50,8,17,155,75,71,175,89,0,,,,,,,,#
6,0,47,23,214,14,20,15,60,117,78,79,36,153,0,,,,,,,#
6,0,37,28,55,106,45,52,80,94,63,199,163,104,83,13,0,,,,,#
