29,,,,,,,,,,,,,,,,,
1,289,246,123,103,280,195,33,82,113,135,229,235,64,95,289,,#
1,289,164,154,240,147,142,87,69,94,161,268,51,289,,,,#
1,289,47,146,13,23,236,96,36,26,288,83,52,289,,,,#
1,289,40,289,,,,,,,,,,,,,,#
1,289,80,55,234,67,256,58,210,107,187,289,,,,,,#
2,290,157,17,166,201,32,269,168,225,284,213,124,233,290,,,#
2,290,179,100,274,277,129,92,18,22,192,251,10,290,,,,#
2,290,112,75,65,184,77,189,70,138,175,54,290,,,,,#
2,290,108,276,126,86,35,244,122,263,118,290,,,,,,#
3,291,156,91,191,130,254,57,217,272,53,162,39,291,,,,#
3,291,262,139,106,145,29,291,,,,,,,,,,#
3,291,21,16,242,7,59,89,282,285,200,215,291,,,,,#
3,291,141,151,28,20,134,34,42,43,275,291,,,,,,#
3,291,199,170,211,15,245,224,220,239,11,204,241,196,178,212,291,#
4,292,66,61,76,181,232,205,49,249,180,259,219,292,,,,#
4,292,186,198,120,183,252,194,5,45,137,172,214,292,,,,#
4,292,218,31,228,231,167,125,3,227,273,136,270,257,292,,,#
4,292,97,119,153,264,8,216,247,163,25,114,226,267,292,,,#
4,292,221,131,46,109,202,271,133,73,12,283,159,127,292,,,#
5,293,158,152,128,253,115,185,79,293,,,,,,,,#
5,293,258,2,1,208,286,222,248,6,293,,,,,,,#
5,293,27,38,237,148,121,169,56,68,88,44,155,293,,,,#
5,293,243,110,230,78,41,111,102,132,99,63,90,203,293,,,#
5,293,71,101,174,105,250,81,255,74,150,72,293,,,,,#
6,294,206,50,24,30,197,104,14,62,98,160,265,294,,,,#
6,294,171,60,209,19,116,182,188,294,,,,,,,,#
6,294,144,85,223,4,165,173,193,177,93,84,294,,,,,#
6,294,260,207,190,143,140,176,287,37,149,117,261,294,,,,#
6,294,9,279,281,278,238,266,48,294,,,,,,,,#
