22,,,,,,,,,,,,,,,,
1,0,36,10,18,2,38,39,35,67,0,,,,,,#
1,0,7,1,12,17,51,13,52,0,,,,,,,#
1,0,48,42,9,6,11,30,14,0,,,,,,,#
1,0,8,34,16,15,3,45,72,5,4,0,,,,,#
2,0,4,29,53,28,5,24,57,50,41,17,61,0,,,#
2,0,19,9,6,33,65,10,18,20,31,27,11,14,0,,#
2,0,40,8,3,16,15,22,32,2,25,0,,,,,#
2,0,7,26,1,23,12,13,21,0,,,,,,,#
3,0,58,7,1,64,47,17,12,68,43,49,37,0,,,#
3,0,9,70,36,35,2,18,10,6,11,30,14,0,,,#
3,0,69,8,34,44,54,3,16,15,5,46,13,4,0,,#
4,0,4,29,52,28,24,63,5,15,45,0,,,,,#
4,0,7,51,12,26,1,23,17,59,13,21,48,0,,,#
4,0,8,16,3,56,22,32,39,38,2,25,0,,,,#
4,0,42,19,9,6,33,10,18,20,31,27,60,11,14,0,#
5,0,9,36,35,2,71,18,10,6,11,30,14,0,,,#
5,0,40,8,34,3,16,15,5,53,4,0,,,,,#
5,0,7,1,50,41,17,12,13,55,0,,,,,,#
6,0,8,15,16,3,54,22,44,62,32,25,0,,,,#
6,0,12,17,47,1,23,26,7,43,49,37,11,66,0,,#
6,0,19,9,6,33,10,27,31,20,18,2,14,0,,,#
6,0,4,29,46,28,5,24,13,21,0,,,,,,#
