PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days
PVRPTW,4,32,500,200,1,1
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-92.7,-59.18,8,20,91,394
2,71.179,12.543,15,6,226,479
3,31.537,66.638,20,19,246,519
4,-4.694,25.537,7,10,166,484
5,-30.194,67.773,13,18,270,625
6,12.677,-57.471,6,1,114,451
7,-32.355,-20.966,5,15,65,417
8,19.91,48.975,1,23,84,335
9,13.202,-19.135,12,13,157,393
10,54.877,-41.168,18,12,263,565
11,15.063,-25.171,25,7,261,582
12,-50.598,-16.418,14,25,189,471
13,-29.73,17.078,18,5,262,443
14,17.542,1.575,13,1,244,568
15,11.127,77.216,6,25,253,449
16,33.752,71.259,14,10,116,375
17,-56.012,-10.394,10,2,221,559
18,57.874,-16.29,18,7,274,456
19,1.569,7.532,2,6,226,481
20,14.722,-10.834,22,17,240,564
21,63.385,11.981,16,21,220,546
22,47.192,-5.475,23,10,71,269
23,12.878,16.919,20,1,183,369
24,9.198,-18.597,16,16,72,384
25,-65.674,-23.12,12,22,215,558
26,7.239,1.599,10,21,213,492
27,-46.887,-3.363,14,13,69,325
28,-14.972,30.621,23,20,116,382
29,-17.035,49.774,8,10,149,433
30,-3.577,13.342,14,7,257,487
31,-39.96,6.195,5,5,239,508
32,25.409,-11.7,14,8,160,366
33,10.629,9.326,0,0,0,1000
