PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,15,240,420,180,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,65.991,-49.829,20,10,90,418,4,1,0,1,2,3,,,
2,-36.938,-36.743,20,25,264,579,4,1,0,1,2,3,,,
3,-2.734,18.774,13,18,195,536,4,1,0,1,2,3,,,
4,31.116,-35.907,13,16,136,478,4,1,0,1,2,3,,,
5,2.789,8.008,17,14,100,354,4,1,0,1,2,3,,,
6,31.152,43.665,24,7,89,413,4,1,0,1,2,3,,,
7,-36.304,-21.307,15,9,223,441,4,1,0,1,2,3,,,
8,52.814,35.046,12,16,137,416,4,1,0,1,2,3,,,
9,11.267,20.66,20,24,84,277,4,1,0,1,2,3,,,
10,-0.623,23.114,20,6,216,536,4,1,0,1,2,3,,,
11,43.091,-12.36,3,22,280,493,4,1,0,1,2,3,,,
12,6.854,19.073,8,11,101,457,4,1,0,1,2,3,,,
13,-6.848,25.317,16,19,244,481,4,1,0,1,2,3,,,
14,-27.93,-23.712,20,20,276,490,4,1,0,1,2,3,,,
15,33.24,-30.487,21,20,273,453,4,1,0,1,2,3,,,
16,63.885,-52.881,23,16,158,403,4,1,0,1,2,3,,,
17,-13.672,-43.945,21,5,98,431,4,1,0,1,2,3,,,
18,-0.647,-27.502,3,21,64,254,4,1,0,1,2,3,,,
19,59.406,-49.261,19,19,83,324,4,1,0,1,2,3,,,
20,27.167,-5.713,20,18,231,539,4,1,0,1,2,3,,,
21,70.001,-20.844,7,22,225,427,4,1,0,1,2,3,,,
22,35.327,-65.167,14,19,137,363,4,1,0,1,2,3,,,
23,-14.386,-42.236,24,15,141,378,4,1,0,1,2,3,,,
24,19.366,30.273,3,24,77,287,4,1,0,1,2,3,,,
25,-39.789,10.101,13,20,258,565,4,1,0,1,2,3,,,
26,-15.753,-40.204,1,17,97,423,4,1,0,1,2,3,,,
27,-28.418,-40.503,5,20,198,440,4,1,0,1,2,3,,,
28,27.081,9.735,2,12,134,349,4,1,0,1,2,3,,,
29,22.205,-9.216,9,23,89,372,4,1,0,1,2,3,,,
30,-0.83,-6.525,18,15,87,439,4,1,0,1,2,3,,,
31,10.217,75.531,5,19,82,410,4,1,0,1,2,3,,,
32,7.446,18.5,12,23,61,357,4,1,0,1,2,3,,,
33,48.914,-20.294,11,9,196,426,4,1,0,1,2,3,,,
34,-18.958,-29.675,17,21,218,432,4,1,0,1,2,3,,,
35,16.815,-6.659,21,17,85,402,4,1,0,1,2,3,,,
36,2.509,-30.42,5,6,254,553,4,1,0,1,2,3,,,
37,15.424,4.913,5,10,151,502,4,1,0,1,2,3,,,
38,60.315,89.801,7,9,84,281,4,1,0,1,2,3,,,
39,40.405,-45.367,24,19,222,441,4,1,0,1,2,3,,,
40,-26.837,-54.272,1,17,81,358,4,1,0,1,2,3,,,
41,69.171,72.577,12,22,92,312,4,1,0,1,2,3,,,
42,-22.815,46.173,6,8,284,487,4,1,0,1,2,3,,,
43,-14.258,-30.249,5,25,78,373,4,1,0,1,2,3,,,
44,76.05,12.073,19,13,292,535,4,1,0,1,2,3,,,
45,63.043,60.022,23,1,124,482,4,1,0,1,2,3,,,
46,-20.239,-81.97,8,15,202,420,4,1,0,1,2,3,,,
47,-41.168,-42.023,1,16,167,364,4,1,0,1,2,3,,,
48,79.199,-29.016,20,20,244,524,4,1,0,1,2,3,,,
49,-20.728,-7.068,16,14,293,486,4,1,0,1,2,3,,,
50,-4.163,-53.497,8,2,188,412,4,1,0,1,2,3,,,
51,39.594,-40.46,16,5,277,521,4,1,0,1,2,3,,,
52,-47.125,-77.85,25,16,247,499,4,1,0,1,2,3,,,
53,-1.233,49.182,5,12,168,480,4,1,0,1,2,3,,,
54,-0.372,-27.264,10,1,237,500,4,1,0,1,2,3,,,
55,31.537,-8.722,24,15,293,625,4,1,0,1,2,3,,,
56,-0.134,-20.264,16,5,165,387,4,1,0,1,2,3,,,
57,66.394,-26.691,7,9,195,392,4,1,0,1,2,3,,,
