40,,,,,,,,,,,,,,,,,
1,0,31,23,4,40,20,105,36,22,62,0,,,,,,#
1,0,135,13,174,176,95,60,21,5,0,,,,,,,#
1,0,32,76,35,2,30,46,183,116,142,155,70,0,,,,#
1,0,28,84,41,94,8,37,44,112,163,143,101,33,0,,,#
1,0,50,71,189,18,161,82,121,67,15,68,0,,,,,#
1,0,27,10,34,47,16,39,109,19,64,24,93,0,,,,#
1,0,90,136,6,29,54,169,96,43,26,78,92,144,0,,,#
1,0,38,3,79,25,81,7,149,73,11,58,14,0,,,,#
1,0,99,164,88,185,17,45,170,158,1,168,0,,,,,#
1,0,148,12,89,165,9,56,42,75,48,184,87,119,0,,,#
2,0,34,16,39,19,59,128,186,0,,,,,,,,#
2,0,91,38,3,157,145,129,97,111,11,125,173,14,0,,,#
2,0,47,167,55,159,85,132,160,36,22,0,,,,,,#
2,0,124,41,175,8,44,37,100,146,48,43,26,15,0,,,#
2,0,63,49,28,83,6,29,156,61,42,9,104,0,,,,#
2,0,25,108,122,57,46,7,72,74,13,138,66,106,0,,,#
2,0,31,147,40,20,4,45,17,18,0,,,,,,,#
2,0,12,131,80,2,30,172,21,5,65,0,,,,,,#
2,0,32,192,35,181,118,126,141,0,,,,,,,,#
2,0,27,113,69,98,10,77,53,24,52,134,0,,,,,#
2,0,115,182,51,23,120,86,1,140,33,0,,,,,,#
3,0,180,50,71,56,42,177,9,82,68,0,,,,,,#
3,0,25,110,81,150,46,30,2,95,7,13,0,,,,,#
3,0,31,40,20,4,23,88,151,36,22,62,0,,,,,#
3,0,29,6,103,179,166,75,48,191,67,0,,,,,,#
3,0,27,10,34,39,47,16,130,19,64,24,93,0,,,,#
3,0,18,54,96,26,43,78,87,92,15,0,,,,,,#
3,0,32,76,35,21,60,70,0,,,,,,,,,#
3,0,38,3,137,79,73,11,133,58,123,188,14,0,,,,#
3,0,12,89,117,5,0,,,,,,,,,,,#
3,0,153,84,28,90,41,94,8,37,44,17,45,1,33,0,,#
4,0,31,20,40,187,36,22,0,,,,,,,,,#
4,0,27,69,10,77,53,52,24,0,,,,,,,,#
4,0,55,127,85,162,47,39,16,34,190,14,66,0,,,,#
4,0,80,35,21,5,65,152,0,,,,,,,,,#
4,0,12,32,9,42,61,48,43,26,15,154,0,,,,,#
4,0,25,57,46,30,2,7,72,74,13,0,,,,,,#
4,0,171,51,4,23,45,17,83,18,0,,,,,,,#
4,0,91,38,3,178,107,11,59,19,139,0,,,,,,#
4,0,63,28,49,41,114,102,6,29,8,37,44,86,1,33,0,#
