PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
PVRPTW,5,72,500,200,1,6,,,,,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,,,,,
1,-92.7,-59.18,8,20,397,571,6,1,0,1,2,3,4,5,,,,,
2,71.179,12.543,15,6,110,249,6,1,0,1,2,3,4,5,,,,,
3,31.537,66.638,20,19,301,449,6,1,0,1,2,3,4,5,,,,,
4,-4.694,25.537,7,10,209,306,6,1,0,1,2,3,4,5,,,,,
5,-30.194,67.773,13,18,223,383,6,1,0,1,2,3,4,5,,,,,
6,12.677,-57.471,6,1,286,425,6,1,0,1,2,3,4,5,,,,,
7,-32.355,-20.966,5,15,106,207,6,1,0,1,2,3,4,5,,,,,
8,19.91,48.975,1,23,426,574,6,1,0,1,2,3,4,5,,,,,
9,13.202,-19.135,12,13,147,321,6,1,0,1,2,3,4,5,,,,,
10,54.877,-41.168,18,12,296,398,6,1,0,1,2,3,4,5,,,,,
11,15.063,-25.171,25,7,247,409,6,1,0,1,2,3,4,5,,,,,
12,-50.598,-16.418,14,25,77,205,6,1,0,1,2,3,4,5,,,,,
13,-29.73,17.078,18,5,370,504,6,1,0,1,2,3,4,5,,,,,
14,17.542,1.575,13,1,269,380,6,1,0,1,2,3,4,5,,,,,
15,11.127,77.216,6,25,402,546,6,1,0,1,2,3,4,5,,,,,
16,33.752,71.259,14,10,81,241,6,1,0,1,2,3,4,5,,,,,
17,-56.012,-10.394,10,2,370,486,6,1,0,1,2,3,4,5,,,,,
18,57.874,-16.29,18,7,237,348,6,1,0,1,2,3,4,5,,,,,
19,10.718,-18.787,8,11,455,604,3,2,0,2,4,.,1,3,5,,,,
20,53.088,-18.75,6,4,244,357,3,2,0,2,4,.,1,3,5,,,,
21,1.569,7.532,2,6,385,484,3,2,0,2,4,.,1,3,5,,,,
22,31.531,48.944,4,15,146,261,3,2,0,2,4,.,1,3,5,,,,
23,-66.833,-37.854,4,7,175,303,3,2,0,2,4,.,1,3,5,,,,
24,-70.74,62.244,23,8,191,299,3,2,0,2,4,.,1,3,5,,,,
25,32.538,23.096,12,10,120,269,3,2,0,2,4,.,1,3,5,,,,
26,-51.453,-36.444,24,9,435,561,3,2,0,2,4,.,1,3,5,,,,
27,36.456,-22.638,17,4,311,463,3,2,0,2,4,.,1,3,5,,,,
28,-31.207,43.494,18,6,442,571,3,2,0,2,4,.,1,3,5,,,,
29,-10.388,34.491,25,22,129,271,3,2,0,2,4,.,1,3,5,,,,
30,14.722,-10.834,22,17,256,399,3,2,0,2,4,.,1,3,5,,,,
31,47.095,-21.387,10,9,60,191,3,2,0,2,4,.,1,3,5,,,,
32,43.781,34.766,25,25,291,438,3,2,0,2,4,.,1,3,5,,,,
33,53.546,-67.487,21,10,418,529,3,2,0,2,4,.,1,3,5,,,,
34,26.801,46.515,21,18,472,622,3,2,0,2,4,.,1,3,5,,,,
35,63.385,11.981,16,21,161,312,3,2,0,2,4,.,1,3,5,,,,
36,47.192,-5.475,23,10,466,624,3,2,0,2,4,.,1,3,5,,,,
37,-16.315,-11.267,21,23,462,584,2,3,0,3,.,1,4,.,2,5,,,
38,78.9,17.651,15,23,92,188,2,3,0,3,.,1,4,.,2,5,,,
39,79.822,22.272,7,11,259,426,2,3,0,3,.,1,4,.,2,5,,,
40,12.878,16.919,20,1,477,585,2,3,0,3,.,1,4,.,2,5,,,
41,-67.981,-3.754,6,23,217,369,2,3,0,3,.,1,4,.,2,5,,,
42,9.198,-18.597,16,16,423,556,2,3,0,3,.,1,4,.,2,5,,,
43,-35.95,-19.141,10,10,210,351,2,3,0,3,.,1,4,.,2,5,,,
44,28.766,45.276,7,12,330,500,2,3,0,3,.,1,4,.,2,5,,,
45,11.469,68.231,20,12,461,578,2,3,0,3,.,1,4,.,2,5,,,
46,-22.76,45.496,9,3,141,267,2,3,0,3,.,1,4,.,2,5,,,
47,-65.674,-23.12,12,22,282,448,2,3,0,3,.,1,4,.,2,5,,,
48,7.239,1.599,10,21,299,416,2,3,0,3,.,1,4,.,2,5,,,
49,-29.785,-11.285,19,13,335,426,2,3,0,3,.,1,4,.,2,5,,,
50,-89.05,16.211,6,15,176,311,2,3,0,3,.,1,4,.,2,5,,,
