20,,,,,,,,,,,,,,,,,,
1,241,189,150,149,226,8,82,195,172,116,177,187,20,55,203,241,,#
1,241,158,211,15,51,129,4,61,210,125,214,133,81,241,,,,#
1,241,160,57,114,19,1,16,200,180,223,94,90,39,154,241,,,#
1,241,157,75,194,131,33,91,193,142,241,,,,,,,,#
1,241,11,124,44,104,168,184,48,21,96,224,60,84,161,241,,,#
2,242,141,165,148,59,115,231,102,217,183,188,105,227,79,242,,,#
2,242,162,106,202,64,198,136,113,87,49,128,208,174,137,182,242,,#
2,242,132,56,153,143,72,201,123,204,240,221,85,242,,,,,#
2,242,213,151,29,235,80,197,35,101,100,121,212,242,,,,,#
2,242,30,77,62,146,108,118,5,166,207,225,242,,,,,,#
3,243,185,192,103,186,31,167,191,126,152,42,111,243,,,,,#
3,243,3,205,107,120,53,112,206,9,170,243,,,,,,,#
3,243,145,175,139,140,25,97,69,234,169,236,171,138,156,13,10,243,#
3,243,37,135,28,230,83,181,73,24,66,190,32,12,243,,,,#
3,243,222,45,199,41,78,93,38,89,219,6,74,243,,,,,#
4,244,34,95,130,76,98,110,68,47,27,122,179,244,,,,,#
4,244,239,14,7,134,232,147,2,215,127,229,218,26,99,237,43,244,#
4,244,173,92,58,220,86,228,117,209,22,159,65,36,244,,,,#
4,244,23,196,233,40,216,52,46,70,109,178,176,63,17,244,,,#
4,244,18,54,67,50,88,155,164,71,119,163,144,238,244,,,,#
