34,,,,,,,,,,,,,,,,
1,0,15,41,23,32,96,66,21,16,0,,,,,,#
1,0,39,17,69,110,13,71,26,11,0,,,,,,#
1,0,104,126,120,33,25,22,18,0,,,,,,,#
1,0,37,24,70,135,8,75,4,0,,,,,,,#
1,0,28,118,38,20,31,27,1,0,,,,,,,#
1,0,5,35,78,12,10,14,3,0,,,,,,,#
1,0,65,29,53,7,30,134,97,2,48,63,0,,,,#
1,0,84,102,9,140,89,47,60,144,0,,,,,,#
1,0,58,68,6,36,57,34,100,19,0,,,,,,#
2,0,28,35,11,0,,,,,,,,,,,#
2,0,54,49,55,67,56,8,24,46,0,,,,,,#
2,0,5,17,62,26,13,40,52,121,127,14,3,45,109,0,#
2,0,6,51,115,36,61,111,34,4,0,,,,,,#
2,0,15,64,9,2,32,21,16,43,0,,,,,,#
2,0,86,7,30,29,59,93,33,25,22,18,0,,,,#
2,0,23,99,42,20,44,31,27,1,0,,,,,,#
2,0,72,50,10,112,12,19,0,,,,,,,,#
3,0,65,29,82,53,7,30,90,66,21,16,18,22,0,,#
3,0,108,24,70,79,19,12,10,14,3,0,,,,,#
3,0,41,23,81,32,124,113,60,47,142,77,0,,,,#
3,0,39,17,69,13,26,71,11,35,0,,,,,,#
3,0,58,68,6,117,8,125,34,83,4,25,0,,,,#
3,0,37,105,101,36,57,85,98,33,0,,,,,,#
3,0,5,28,38,20,31,103,114,27,1,0,,,,,#
3,0,15,130,131,9,137,2,94,48,63,0,,,,,#
4,0,6,51,56,36,61,34,4,25,0,,,,,,#
4,0,72,50,74,141,24,19,12,10,73,14,3,0,,,#
4,0,122,64,9,136,20,31,42,44,2,143,0,,,,#
4,0,92,106,7,30,29,59,33,128,123,18,22,0,,,#
4,0,5,17,62,26,139,132,13,1,95,0,,,,,#
4,0,87,129,133,80,88,52,40,119,27,0,,,,,#
4,0,54,76,116,49,55,67,8,46,0,,,,,,#
4,0,28,35,11,91,45,107,0,,,,,,,,#
4,0,15,23,32,138,21,16,43,0,,,,,,,#
