MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,7,288,400,175,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-66.174,-37.811,13,19,218,308
2,2.673,-35.223,16,21,129,244
3,38.751,8.618,1,17,475,593
4,62.653,20.667,9,6,230,341
5,60.974,-6.11,20,6,159,330
6,-98.535,-39.532,2,19,390,561
7,8.411,-81.274,5,17,389,538
8,-14.569,26.056,10,19,89,260
9,-34.186,-76.697,10,2,454,628
10,55.145,-33.911,25,3,306,441
11,15.869,8.716,2,24,391,565
12,-63.416,-20.282,5,5,106,254
13,-9.357,-42.212,16,9,460,613
14,-53.619,3.729,24,20,76,240
15,53.491,-3.308,7,19,366,523
16,-22.614,-32.794,19,20,270,377
17,39.612,-1.55,15,4,78,235
18,16.705,-22.748,7,3,251,385
19,-51.245,-13.757,16,2,475,597
20,-29.907,14.38,20,23,229,340
21,-70.441,-27.911,21,6,203,342
22,-75.385,-30.811,7,17,388,521
23,10.59,-28.931,17,17,425,544
24,86.34,-45.935,11,3,333,503
25,3.864,34.583,6,16,394,535
26,-37.598,-42.114,4,15,380,503
27,69.44,1.379,16,23,160,318
28,-13.818,1.245,8,15,313,479
29,-27.124,-38.037,13,12,60,154
30,-69.348,-14.734,25,19,267,409
31,58.575,29.346,16,23,281,438
32,58.105,31.702,2,10,217,358
33,-62.25,-16.425,12,23,222,375
34,-66.382,13.586,12,22,197,324
35,68.03,-12.482,14,4,111,237
36,-30.701,-41.681,16,5,247,358
37,-55.389,-51.05,9,1,397,522
38,36.237,-2.655,16,11,130,308
39,-1.215,5.591,2,20,116,291
40,10.278,-23.95,21,25,324,473
41,-7.159,36.859,7,18,255,388
42,-90.204,61.169,3,4,123,214
43,46.368,65.082,5,10,281,422
44,13.348,31.372,12,17,247,426
45,-73.566,-28.839,9,7,173,285
46,-41.528,-37.097,11,4,341,481
47,-60.938,-27.246,17,3,322,436
48,38.312,54.376,10,12,413,534
49,26.306,11.975,5,13,275,374
50,10.297,-48.346,3,24,399,534
51,52.417,-28.363,1,16,64,192
52,-43.756,-39.343,3,2,182,301
53,49.316,11.395,5,7,456,602
54,45.593,4.346,25,15,111,206
55,-25.989,-15.814,14,12,389,513
56,65.253,-59.631,4,15,180,304
57,12.109,-34.387,14,17,154,296
58,12.39,-16.254,20,16,403,495
59,0.525,69.611,5,1,141,306
60,-8.679,7.77,22,9,141,234
61,41.467,-35.016,17,4,377,534
62,11.859,-34.973,19,3,179,270
63,-1.306,-58.063,9,1,333,434
64,6.024,-31.018,16,4,258,351
65,1.788,-32.544,19,6,426,569
66,29.272,-6.494,11,1,67,198
67,23.95,10.742,6,19,108,230
68,-65.887,40.912,23,1,181,299
69,-10.095,26.257,24,2,235,407
70,58.093,67.352,21,25,444,586
71,90.015,9.485,16,4,424,553
72,-6.622,15.216,15,4,269,441
73,-2.875,-42.841,23,13,351,468
74,-37.714,-7.306,22,18,453,562
75,44.171,-11.224,21,9,322,501
76,-58.704,-2.808,21,5,476,625
77,-3.912,10.071,21,12,390,518
78,-41.37,-1.495,7,22,125,254
79,58.179,27.563,15,9,90,192
80,-63.861,26.147,15,11,244,411
81,-56.793,-15.918,16,6,169,287
82,22.217,-27.509,13,19,132,238
83,-1.031,-14.838,22,10,371,472
84,-57.703,-10.48,1,1,221,377
85,80.847,6.299,22,10,159,285
86,2.887,10.822,24,20,440,588
87,-37.39,-7.8,6,18,174,344
88,-33.6,-26.74,5,1,365,530
89,95.197,24.231,14,11,414,549
90,-13.904,29.327,19,20,381,523
91,-53.461,9.296,16,12,79,206
92,67.578,13.007,20,17,304,417
93,-83.881,-53.265,12,16,76,226
94,30.255,-72.43,7,3,140,277
95,-22.333,-20.538,23,14,146,240
96,3.741,-35.461,9,12,274,433
97,-20.093,-43.982,19,9,400,569
98,-47.687,-21.1,17,1,301,465
99,-20.447,-13.849,1,7,76,222
100,34.515,3.967,25,7,108,274
101,20.514,-11.884,12,5,372,522
102,-46.039,-22.565,15,9,290,430
103,-39.63,25.385,16,15,368,503
104,-1.025,50.433,10,4,76,207
105,-28.632,23.486,24,10,471,608
106,-52.997,-16.248,24,21,335,459
107,-3.345,-22.955,18,2,281,416
108,-62.64,-26.349,21,6,185,358
109,25.403,0.531,21,1,285,401
110,-29.895,72.919,17,23,225,333
111,26.63,1.971,7,24,146,290
112,-9.814,35.004,14,16,76,204
113,-7.758,-42.426,8,18,62,185
114,28.918,-7.117,2,1,324,477
115,47.693,36.108,18,1,479,631
116,-53.168,5.206,10,21,317,460
117,17.56,13.214,17,8,325,486
118,6.836,-2.496,20,22,227,392
