MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,3,96,480,195,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,33.588,30.75,12,4,410,539
2,48.828,65.314,1,12,125,278
3,86.176,59.344,1,3,256,378
4,39.27,-33.057,15,15,382,504
5,-23.37,86.853,10,13,422,539
6,48.132,95.593,12,20,336,444
7,-16.357,93.311,15,21,257,387
8,-57.703,-65.601,16,4,81,231
9,7.147,32.684,18,25,314,439
10,42.95,68.701,9,21,345,505
11,37.085,-2.112,5,7,143,253
12,77.759,55.817,19,3,205,372
13,-17.462,-56.567,11,9,417,591
14,58.575,59.888,12,5,402,559
15,57.776,15.344,13,20,114,285
16,-22.327,36.072,8,21,376,549
17,-7.08,30.493,14,19,298,434
18,55.658,60.425,9,2,445,572
19,-14.307,11.456,2,16,213,347
20,-29.724,24.268,25,18,206,358
21,43.219,0.739,6,24,161,257
22,45.184,35.474,16,24,378,522
23,64.484,2.24,18,8,228,368
24,55.078,72.241,4,16,402,535
25,16.925,15.741,17,19,103,228
26,45.038,-3.723,4,12,314,446
27,-76.782,5.939,22,9,387,508
28,36.169,0.256,12,3,447,555
29,29.218,8.936,13,15,143,310
30,65.057,5.225,5,4,332,498
31,42.175,-22.284,24,24,316,425
32,25.574,31.726,12,22,444,606
33,31.561,37.262,16,14,216,360
34,66.498,-54.169,8,11,188,352
35,46.576,-17.938,10,20,476,615
36,65.063,40.875,15,5,375,473
37,-2.716,24.768,21,11,100,197
38,-40.002,3.87,5,12,234,396
39,-73.505,57.043,9,7,171,343
40,81.146,-25.714,5,1,152,326
41,12.006,-7.965,9,23,140,319
42,42.761,38.092,20,13,178,341
43,3.857,-23.181,14,4,136,294
44,-7.367,24.39,24,23,455,622
45,35.944,-11.835,23,17,231,369
46,52.075,9.692,12,13,322,446
47,30.725,30.701,13,9,450,566
48,41.223,77.924,19,10,162,334
49,68.884,-40.546,21,22,439,540
50,76.312,86.67,5,21,216,357
51,63.934,78.54,9,13,70,243
52,29.15,-9.961,23,25,436,537
53,85.522,39.954,8,8,300,425
54,31.775,3.87,5,20,210,347
55,-20.544,19.086,8,3,104,279
56,55.353,43.817,10,4,370,467
57,35.406,10.278,9,13,169,316
58,25.464,-0.287,21,18,424,548
59,12.396,0.244,12,1,300,449
60,18.359,20.917,8,10,137,233
61,27.96,-15.039,4,16,422,564
62,-3.192,19.879,14,9,95,230
63,9.332,-41.351,19,13,107,272
64,-20.581,38.177,23,23,299,433
65,27.82,28.729,4,14,180,323
66,59.027,42.31,9,5,222,322
67,56.311,58.734,1,1,109,253
68,-51.654,-0.342,21,6,237,392
69,2.576,32.721,20,20,178,283
70,15.131,-3.046,24,10,285,405
71,66.595,34.937,22,19,457,606
72,19.476,20.142,25,24,300,416
73,-1.172,20.648,19,3,129,299
74,-21.204,13.66,14,5,372,511
75,98.846,1.257,11,13,95,260
76,82.593,72.003,22,5,122,251
77,30.017,-30.896,25,4,233,387
78,33.228,41.663,5,12,306,411
79,39.49,-8.539,10,11,129,234
80,54.498,70.813,4,20,248,346
81,3.058,10.248,4,13,106,251
82,51.831,-16.87,6,1,410,570
83,76.416,11.346,22,3,432,539
84,5.243,0.238,17,2,350,455
85,50.592,34.247,22,23,190,339
86,-5.231,-2.081,3,8,110,257
87,24.194,25.836,25,25,383,531
88,33.63,37.585,22,18,324,442
89,31.445,-7.001,23,4,158,285
90,30.707,-28.168,16,5,272,413
91,49.86,1.038,13,21,404,554
92,-35.767,14.142,23,23,82,254
93,-29.309,4.889,1,19,216,370
94,19.049,41.974,11,2,442,553
95,27.6,13.934,19,21,85,192
96,52.832,50.684,21,10,124,269
97,6.229,10.59,0,0,0,1000
98,32.663,44.73,0,0,0,1000
99,48.807,48.792,0,0,0,1000
100,33.179,-4.968,0,0,0,1000
