18,,,,,,,,,,,,,,,,,
1,0,1,96,10,2,18,14,12,3,76,50,6,24,22,0,,#
1,0,9,73,62,19,55,20,39,5,7,16,17,25,0,,,#
1,0,57,21,91,23,30,15,0,,,,,,,,,#
1,0,95,29,54,28,11,45,90,77,4,63,13,8,0,,,#
2,0,9,44,19,74,38,68,27,20,16,17,37,60,0,,,#
2,0,11,21,26,82,35,31,4,34,49,40,23,46,0,,,#
2,0,59,41,43,13,8,86,72,0,,,,,,,,#
2,0,1,18,14,24,2,10,48,6,7,5,32,0,,,,#
2,0,15,53,12,3,36,71,85,22,42,88,33,47,0,,,#
3,0,81,19,13,8,84,25,0,,,,,,,,,#
3,0,65,9,7,5,39,20,16,64,17,0,,,,,,#
3,0,15,30,23,21,28,11,79,45,4,61,52,89,58,29,0,#
3,0,1,78,10,2,18,14,12,3,51,6,24,80,22,0,,#
4,0,1,67,14,18,24,2,10,48,6,7,5,94,32,0,,#
4,0,36,3,12,66,56,22,42,33,47,0,,,,,,#
4,0,11,15,83,75,40,34,4,31,35,26,21,23,46,0,,#
4,0,9,44,20,92,38,93,19,37,69,87,0,,,,,#
4,0,70,41,43,13,8,27,16,17,0,,,,,,,#
