MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,2,144,475,190,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-40.289,-42.303,6,20,101,341
2,-64.709,-17.389,3,10,208,482
3,5.06,-14.349,23,8,218,450
4,72.095,20.233,1,6,123,469
5,2.594,-15.002,18,1,145,419
6,-24.176,-72.894,8,19,188,433
7,-13.19,66.498,2,13,154,335
8,33.191,13.69,9,24,149,461
9,66.827,-30.554,1,15,163,389
10,19.934,35.883,20,13,173,410
11,-27.771,32.269,23,10,222,410
12,51.154,-16.827,22,4,102,338
13,-19.214,23.749,24,12,62,269
14,-46.643,-52.954,21,21,228,558
15,-10.59,-16.626,18,2,91,444
16,35.15,12.622,21,10,155,370
17,-37.378,12.256,7,20,67,347
18,82.794,25.836,4,9,64,353
19,8.936,-3.723,21,24,211,414
20,-56.659,25.555,13,19,229,423
21,-52.02,-40.137,18,13,291,516
22,39.27,12.787,4,14,222,519
23,19.757,21.228,3,17,228,578
24,-23.071,-12.659,12,25,136,465
25,15.686,52.374,5,1,152,340
26,58.771,-7.056,8,9,220,442
27,-33.087,72.266,14,12,122,449
28,2.551,46.851,10,22,295,543
29,-18.719,73.126,14,2,280,505
30,-67.627,-20.679,19,21,154,456
31,-76.862,-11.365,20,8,246,443
32,-24.194,-38.263,21,19,138,396
33,-20.374,-31.903,11,24,195,375
34,9.29,39.618,14,24,229,417
35,26.044,35.974,6,2,247,575
36,-57.385,-45.264,7,20,204,406
37,1.489,-62.592,3,20,156,423
38,34.937,13.672,22,5,141,450
39,-22.29,45.648,21,17,234,489
40,-5.92,44.061,12,4,245,511
41,-38.446,-23.541,1,21,216,402
42,28.894,33.936,11,3,224,547
43,-35.388,-5.341,12,16,127,338
44,-19.501,13.519,19,14,63,389
45,-9.216,-30.988,8,6,95,288
46,-22.131,-17.065,11,5,290,546
47,-22.827,36.81,18,12,289,591
48,-61.365,-18.463,6,23,192,547
49,50.128,-66.046,3,12,92,447
50,25.647,24.139,6,18,245,601
51,65.521,42.81,10,24,83,277
52,-60.956,-47.925,7,3,275,535
53,-9.07,42.798,17,3,176,495
54,-19.061,4.48,12,25,63,265
55,-54.071,-3.87,11,22,133,358
56,-25.598,-18.866,15,25,170,414
57,-18.707,84.296,6,15,124,438
58,-70.184,-39.166,13,18,99,413
59,-14.636,-0.446,3,8,100,426
60,-76.465,-38.922,23,20,186,431
61,44.092,12.433,24,18,226,566
62,-22.772,-50.867,22,5,288,602
63,19.104,44.672,11,25,161,344
64,-44.019,-39.935,24,16,203,448
65,-2.972,-4.059,8,14,168,391
66,-24.261,35.907,22,1,159,475
67,-61.877,-73.901,11,15,164,447
68,-5.64,-26.721,6,22,94,300
69,45.844,-36.835,10,6,153,354
70,-51.746,-79.84,10,24,130,428
71,-33.008,10.992,20,19,89,311
72,-25.653,-0.372,2,12,229,568
73,-21.497,61.487,18,13,205,419
74,2.032,26.727,8,10,262,451
75,-26.758,14.807,13,12,105,353
76,-37.256,-44.861,8,13,145,412
77,-0.861,-16.418,8,25,275,536
78,-51.16,34.967,18,12,299,578
79,-41.266,-76.886,17,2,246,497
80,-30.255,74.701,10,11,198,533
81,-46.368,-1.514,23,10,194,382
82,-71.619,73.077,3,9,277,628
83,-46.606,-39.948,25,21,174,523
84,-30.243,67.102,4,14,175,363
85,-40.997,-43.036,25,15,209,391
86,-74.286,-52.307,5,6,265,502
87,-17.609,-71.851,9,25,226,428
88,2.35,-81.805,18,14,159,370
89,-85.486,-54.059,16,17,155,487
90,23.822,10.571,16,8,193,535
91,-24.53,-31.726,22,4,167,439
92,-42.474,-15.009,2,17,285,530
93,-33.624,50.33,22,23,165,520
94,-81.458,-41.565,11,4,259,608
95,-73.505,-48.279,24,4,173,360
96,-3.052,70.898,17,9,108,372
97,0.946,25.458,12,9,267,464
98,-54.144,13.525,1,19,212,457
99,-30.634,7.526,23,12,241,564
100,-68.335,-34.277,4,25,212,515
101,7.178,57.935,15,8,71,323
102,4.712,48.669,15,13,174,414
103,58.087,26.379,12,3,155,451
104,18.347,34.784,21,6,82,275
105,-44.629,-61.975,21,11,230,527
106,5.231,26.068,15,24,114,418
107,-48.065,-36.755,21,16,276,600
108,-3.589,-27.734,19,21,135,475
109,9.808,36.896,11,25,144,350
110,59.46,1.233,3,10,125,350
111,-47.522,19.873,12,2,251,463
112,-48.431,-50.317,4,13,246,582
