MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,4,192,440,185,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-44.629,-55.64,6,11,87,312
2,36.096,64.935,16,11,204,399
3,-25.47,44.58,7,23,130,431
4,-33.954,-73.059,20,16,159,416
5,45.654,35.73,7,16,265,454
6,14.954,-36.719,8,2,227,426
7,-1.477,47.205,4,1,293,603
8,2.155,-40.912,23,25,63,378
9,22.992,1.398,4,24,137,473
10,-28.857,5.957,5,14,122,366
11,-48.12,94.116,15,6,273,532
12,7.239,17.322,12,20,177,523
13,4.614,27.051,12,10,189,513
14,-13.971,28.198,18,11,157,349
15,12.946,-11.688,19,2,219,491
16,-36.67,23.102,17,22,236,568
17,-4.224,-49.31,2,2,235,459
18,1.093,-7.135,15,12,292,563
19,-56.958,27.905,10,9,92,325
20,-80.994,-77.686,3,21,212,455
21,72.26,59.027,24,10,100,391
22,-21.655,1.636,1,13,215,482
23,-20.154,-62.415,22,25,158,505
24,-48.157,6.287,22,9,268,560
25,-5.078,61.597,17,19,171,498
26,17.145,-47.046,7,22,169,476
27,-16.064,8.557,11,4,135,362
28,6.683,-27.069,4,4,77,350
29,15.027,-34.979,15,7,104,404
30,37.946,73.914,15,20,203,390
31,-41.199,-43.018,9,17,114,424
32,32.538,11.786,15,19,151,465
33,-20.306,-20.239,1,12,271,485
34,-35.48,19.135,13,2,223,512
35,58.038,56.659,17,13,125,307
36,-36.694,-6.256,17,24,142,488
37,0.446,-46.735,25,22,170,483
38,-19.69,38.977,5,17,140,466
39,-47.339,20.911,25,19,275,584
40,-79.236,-57.678,2,4,114,386
41,5.597,-34.076,9,12,289,478
42,34.454,-8.289,7,22,106,322
43,18.5,-51.154,5,2,257,572
44,-4.346,-44.525,3,19,221,515
45,-14.148,-74.164,17,3,219,420
46,19.867,77.515,12,5,116,331
47,-50.079,17.871,21,22,146,454
48,42.786,-79.883,18,6,241,553
49,1.52,-29.034,8,9,217,397
50,14.728,-3.436,14,8,186,498
51,-26.166,-48.999,22,24,88,283
52,-63.873,-5.273,16,15,149,360
53,-54.138,7.086,21,16,217,479
54,17.932,-34.094,7,9,138,452
55,-98.706,34.552,12,1,76,317
56,28.802,-8.582,2,18,75,367
57,2.716,90.594,5,17,135,400
58,-31.024,48.938,3,18,195,473
59,-46.545,42.316,11,2,61,403
60,27.289,58.179,2,25,102,354
61,28.815,-28.027,7,21,261,562
62,-26.099,11.328,20,19,224,414
