PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,6,96,480,195,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,33.588,30.75,12,4,389,536,4,1,0,1,2,3,,,
2,48.828,65.314,1,12,444,558,4,1,0,1,2,3,,,
3,86.176,59.344,1,3,275,412,4,1,0,1,2,3,,,
4,39.27,-33.057,15,15,367,524,4,1,0,1,2,3,,,
5,-23.37,86.853,10,13,413,589,4,1,0,1,2,3,,,
6,48.132,95.593,12,20,66,173,4,1,0,1,2,3,,,
7,-16.357,93.311,15,21,232,357,4,1,0,1,2,3,,,
8,-57.703,-65.601,16,4,473,601,4,1,0,1,2,3,,,
9,7.147,32.684,18,25,351,506,4,1,0,1,2,3,,,
10,42.95,68.701,9,21,302,448,4,1,0,1,2,3,,,
11,37.085,-2.112,5,7,411,574,4,1,0,1,2,3,,,
12,77.759,55.817,19,3,146,279,4,1,0,1,2,3,,,
13,-17.462,-56.567,11,9,214,306,4,1,0,1,2,3,,,
14,58.575,59.888,12,5,128,234,4,1,0,1,2,3,,,
15,57.776,15.344,13,20,158,263,4,1,0,1,2,3,,,
16,-22.327,36.072,8,21,447,573,4,1,0,1,2,3,,,
17,-7.08,30.493,14,19,134,239,4,1,0,1,2,3,,,
18,55.658,60.425,9,2,81,211,4,1,0,1,2,3,,,
19,-14.307,11.456,2,16,418,575,4,1,0,1,2,3,,,
20,-29.724,24.268,25,18,455,586,4,1,0,1,2,3,,,
21,43.219,0.739,6,24,369,517,4,1,0,1,2,3,,,
22,45.184,35.474,16,24,99,190,4,1,0,1,2,3,,,
23,64.484,2.24,18,8,150,277,4,1,0,1,2,3,,,
24,55.078,72.241,4,16,126,298,4,1,0,1,2,3,,,
25,16.925,15.741,17,19,429,564,2,2,0,2,.,1,3,,
26,45.038,-3.723,4,12,254,408,2,2,0,2,.,1,3,,
27,-76.782,5.939,22,9,255,400,2,2,0,2,.,1,3,,
28,36.169,0.256,12,3,161,292,2,2,0,2,.,1,3,,
29,29.218,8.936,13,15,236,329,2,2,0,2,.,1,3,,
30,65.057,5.225,5,4,176,300,2,2,0,2,.,1,3,,
31,42.175,-22.284,24,24,298,465,2,2,0,2,.,1,3,,
32,25.574,31.726,12,22,142,243,2,2,0,2,.,1,3,,
33,31.561,37.262,16,14,404,577,2,2,0,2,.,1,3,,
34,66.498,-54.169,8,11,101,273,2,2,0,2,.,1,3,,
35,46.576,-17.938,10,20,236,365,2,2,0,2,.,1,3,,
36,65.063,40.875,15,5,391,533,2,2,0,2,.,1,3,,
37,-2.716,24.768,21,11,354,510,2,2,0,2,.,1,3,,
38,-40.002,3.87,5,12,183,335,2,2,0,2,.,1,3,,
39,-73.505,57.043,9,7,392,541,2,2,0,2,.,1,3,,
40,81.146,-25.714,5,1,425,580,2,2,0,2,.,1,3,,
41,12.006,-7.965,9,23,170,323,2,2,0,2,.,1,3,,
42,42.761,38.092,20,13,182,313,2,2,0,2,.,1,3,,
43,3.857,-23.181,14,4,136,257,2,2,0,2,.,1,3,,
44,-7.367,24.39,24,23,287,440,2,2,0,2,.,1,3,,
45,35.944,-11.835,23,17,289,381,2,2,0,2,.,1,3,,
46,52.075,9.692,12,13,354,483,2,2,0,2,.,1,3,,
47,30.725,30.701,13,9,284,445,2,2,0,2,.,1,3,,
48,41.223,77.924,19,10,153,273,2,2,0,2,.,1,3,,
49,68.884,-40.546,21,22,310,441,1,4,0,.,1,.,2,.,3
50,76.312,86.67,5,21,186,277,1,4,0,.,1,.,2,.,3
51,63.934,78.54,9,13,400,492,1,4,0,.,1,.,2,.,3
52,29.15,-9.961,23,25,305,469,1,4,0,.,1,.,2,.,3
53,85.522,39.954,8,8,263,378,1,4,0,.,1,.,2,.,3
54,31.775,3.87,5,20,446,587,1,4,0,.,1,.,2,.,3
55,-20.544,19.086,8,3,260,392,1,4,0,.,1,.,2,.,3
56,55.353,43.817,10,4,211,382,1,4,0,.,1,.,2,.,3
57,35.406,10.278,9,13,148,297,1,4,0,.,1,.,2,.,3
58,25.464,-0.287,21,18,133,303,1,4,0,.,1,.,2,.,3
59,12.396,0.244,12,1,407,497,1,4,0,.,1,.,2,.,3
60,18.359,20.917,8,10,70,195,1,4,0,.,1,.,2,.,3
61,27.96,-15.039,4,16,262,384,1,4,0,.,1,.,2,.,3
62,-3.192,19.879,14,9,101,267,1,4,0,.,1,.,2,.,3
63,9.332,-41.351,19,13,147,273,1,4,0,.,1,.,2,.,3
64,-20.581,38.177,23,23,207,300,1,4,0,.,1,.,2,.,3
65,27.82,28.729,4,14,212,382,1,4,0,.,1,.,2,.,3
66,59.027,42.31,9,5,325,454,1,4,0,.,1,.,2,.,3
67,56.311,58.734,1,1,101,198,1,4,0,.,1,.,2,.,3
68,-51.654,-0.342,21,6,418,577,1,4,0,.,1,.,2,.,3
69,2.576,32.721,20,20,400,575,1,4,0,.,1,.,2,.,3
70,15.131,-3.046,24,10,477,591,1,4,0,.,1,.,2,.,3
71,66.595,34.937,22,19,96,212,1,4,0,.,1,.,2,.,3
72,19.476,20.142,25,24,95,220,1,4,0,.,1,.,2,.,3
73,-1.172,20.648,19,3,86,203,1,4,0,.,1,.,2,.,3
74,-21.204,13.66,14,5,453,577,1,4,0,.,1,.,2,.,3
75,98.846,1.257,11,13,355,506,1,4,0,.,1,.,2,.,3
76,82.593,72.003,22,5,407,544,1,4,0,.,1,.,2,.,3
77,30.017,-30.896,25,4,451,629,1,4,0,.,1,.,2,.,3
78,33.228,41.663,5,12,417,544,1,4,0,.,1,.,2,.,3
79,39.49,-8.539,10,11,116,220,1,4,0,.,1,.,2,.,3
80,54.498,70.813,4,20,123,218,1,4,0,.,1,.,2,.,3
81,3.058,10.248,4,13,455,630,1,4,0,.,1,.,2,.,3
82,51.831,-16.87,6,1,385,495,1,4,0,.,1,.,2,.,3
83,76.416,11.346,22,3,402,513,1,4,0,.,1,.,2,.,3
84,5.243,0.238,17,2,203,369,1,4,0,.,1,.,2,.,3
85,50.592,34.247,22,23,213,392,1,4,0,.,1,.,2,.,3
86,-5.231,-2.081,3,8,169,331,1,4,0,.,1,.,2,.,3
87,24.194,25.836,25,25,436,588,1,4,0,.,1,.,2,.,3
88,33.63,37.585,22,18,361,534,1,4,0,.,1,.,2,.,3
89,31.445,-7.001,23,4,113,217,1,4,0,.,1,.,2,.,3
90,30.707,-28.168,16,5,112,258,1,4,0,.,1,.,2,.,3
91,49.86,1.038,13,21,302,443,1,4,0,.,1,.,2,.,3
92,-35.767,14.142,23,23,187,361,1,4,0,.,1,.,2,.,3
93,-29.309,4.889,1,19,299,430,1,4,0,.,1,.,2,.,3
94,19.049,41.974,11,2,85,203,1,4,0,.,1,.,2,.,3
95,27.6,13.934,19,21,196,345,1,4,0,.,1,.,2,.,3
96,52.832,50.684,21,10,229,325,1,4,0,.,1,.,2,.,3
97,30.219,24.786,0,0,0,1000,0,0,0,,,,,,
