41,,,,,,,,,,,,,,,,,,,
1,0,35,150,226,8,78,93,219,31,103,0,,,,,,,,#
1,0,174,208,128,7,134,147,2,47,215,27,229,26,238,54,79,0,,#
1,0,100,37,32,12,9,206,73,66,28,230,135,0,,,,,,#
1,0,210,173,159,58,86,22,94,90,129,4,61,115,59,0,,,,#
1,0,30,136,113,97,69,234,169,25,49,0,,,,,,,,#
1,0,5,145,3,10,13,53,120,42,171,138,140,175,207,0,,,,#
1,0,18,23,17,40,52,46,109,176,178,50,67,36,0,,,,,#
1,0,24,6,45,41,38,199,44,224,60,11,193,142,0,,,,,#
1,0,132,56,153,72,43,34,204,14,240,85,0,,,,,,,#
1,0,29,20,203,84,160,21,48,57,33,91,55,0,,,,,,#
1,0,114,19,1,16,223,39,51,154,194,75,15,0,,,,,,#
2,0,231,22,117,16,1,200,19,180,39,51,4,0,,,,,,#
2,0,56,43,34,99,26,23,17,63,71,50,88,58,92,65,36,0,,#
2,0,5,112,53,31,89,38,41,45,8,82,116,181,37,0,,,,#
2,0,18,144,119,70,46,52,40,233,27,122,143,54,0,,,,,#
2,0,30,87,25,236,42,156,111,13,107,205,10,3,0,,,,,#
2,0,32,12,9,222,6,74,192,24,83,28,0,,,,,,,#
2,0,33,57,21,48,168,104,44,96,60,11,161,55,0,,,,,#
2,0,182,95,130,98,110,76,68,47,2,232,7,14,49,0,,,,#
2,0,108,118,146,62,77,64,106,212,0,,,,,,,,,#
2,0,151,29,235,20,80,177,197,35,101,213,0,,,,,,,#
2,0,188,183,102,81,158,211,15,125,214,59,105,0,,,,,,#
3,0,56,72,43,237,179,218,127,27,47,2,49,137,0,,,,,#
3,0,172,195,6,103,186,31,53,120,42,13,10,3,0,,,,,#
3,0,18,26,23,17,40,216,52,46,109,50,36,54,79,0,,,,#
3,0,59,115,67,58,220,86,228,22,94,39,51,4,61,0,,,,#
3,0,28,8,45,41,38,93,78,44,149,0,,,,,,,,#
3,0,90,19,16,1,114,184,48,21,57,131,75,15,0,,,,,#
3,0,35,29,91,33,84,60,189,124,11,55,20,0,,,,,,#
3,0,100,5,170,32,12,9,185,24,73,66,190,37,0,,,,,#
3,0,30,113,97,25,69,7,14,34,123,201,85,0,,,,,,#
4,0,4,19,1,16,117,209,22,39,51,15,133,0,,,,,,#
4,0,225,162,198,77,62,139,25,87,49,30,0,,,,,,,#
4,0,18,119,164,70,46,52,40,196,23,163,36,54,141,0,,,,#
4,0,56,221,43,99,26,17,63,71,50,88,155,58,92,65,165,227,0,#
4,0,9,112,31,167,191,126,152,42,53,3,121,0,,,,,,#
4,0,28,24,74,6,89,38,41,45,8,82,116,83,37,0,,,,#
4,0,81,157,33,57,21,48,104,44,96,60,11,55,0,,,,,#
4,0,166,5,32,12,10,107,13,111,108,118,202,64,106,0,,,,#
4,0,239,34,27,2,47,68,110,98,76,95,7,14,0,,,,,#
4,0,105,148,59,102,217,29,20,80,187,35,101,0,,,,,,#
