MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,2,96,480,195,4,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,33.588,30.75,12,4,157,417
2,48.828,65.314,1,12,190,405
3,86.176,59.344,1,3,223,555
4,39.27,-33.057,15,15,113,306
5,-23.37,86.853,10,13,296,481
6,48.132,95.593,12,20,72,368
7,-16.357,93.311,15,21,157,457
8,-57.703,-65.601,16,4,279,560
9,7.147,32.684,18,25,216,429
10,42.95,68.701,9,21,232,544
11,37.085,-2.112,5,7,282,626
12,77.759,55.817,19,3,219,569
13,-17.462,-56.567,11,9,67,423
14,58.575,59.888,12,5,129,430
15,57.776,15.344,13,20,218,456
16,-22.327,36.072,8,21,299,575
17,-7.08,30.493,14,19,144,340
18,55.658,60.425,9,2,127,329
19,-14.307,11.456,2,16,66,412
20,-29.724,24.268,25,18,149,444
21,43.219,0.739,6,24,222,445
22,45.184,35.474,16,24,187,386
23,64.484,2.24,18,8,77,280
24,55.078,72.241,4,16,225,514
25,16.925,15.741,17,19,299,649
26,45.038,-3.723,4,12,219,442
27,-76.782,5.939,22,9,64,278
28,36.169,0.256,12,3,221,455
29,29.218,8.936,13,15,102,414
30,65.057,5.225,5,4,146,397
31,42.175,-22.284,24,24,216,410
32,25.574,31.726,12,22,79,424
33,31.561,37.262,16,14,254,550
34,66.498,-54.169,8,11,198,504
35,46.576,-17.938,10,20,207,517
36,65.063,40.875,15,5,269,480
37,-2.716,24.768,21,11,282,496
38,-40.002,3.87,5,12,196,541
39,-73.505,57.043,9,7,190,475
40,81.146,-25.714,5,1,101,442
41,12.006,-7.965,9,23,201,490
42,42.761,38.092,20,13,264,486
43,3.857,-23.181,14,4,84,383
44,-7.367,24.39,24,23,95,446
45,35.944,-11.835,23,17,145,423
46,52.075,9.692,12,13,61,305
47,30.725,30.701,13,9,271,601
48,41.223,77.924,19,10,243,530
49,68.884,-40.546,21,22,207,407
50,76.312,86.67,5,21,144,336
51,63.934,78.54,9,13,104,392
52,29.15,-9.961,23,25,155,364
53,85.522,39.954,8,8,252,484
54,31.775,3.87,5,20,180,373
55,-20.544,19.086,8,3,222,434
56,55.353,43.817,10,4,138,339
57,35.406,10.278,9,13,179,487
58,25.464,-0.287,21,18,254,487
59,12.396,0.244,12,1,275,633
60,18.359,20.917,8,10,89,367
61,27.96,-15.039,4,16,150,485
62,-3.192,19.879,14,9,224,490
63,9.332,-41.351,19,13,224,496
64,-20.581,38.177,23,23,270,619
65,27.82,28.729,4,14,76,361
66,59.027,42.31,9,5,238,460
67,56.311,58.734,1,1,166,437
68,-51.654,-0.342,21,6,137,393
69,2.576,32.721,20,20,264,448
70,15.131,-3.046,24,10,276,530
71,66.595,34.937,22,19,129,422
72,19.476,20.142,25,24,262,498
73,-1.172,20.648,19,3,121,464
74,-21.204,13.66,14,5,129,460
75,98.846,1.257,11,13,82,337
76,82.593,72.003,22,5,141,335
77,30.017,-30.896,25,4,185,405
78,33.228,41.663,5,12,75,347
79,39.49,-8.539,10,11,149,442
80,54.498,70.813,4,20,290,586
81,3.058,10.248,4,13,287,512
82,51.831,-16.87,6,1,85,273
83,76.416,11.346,22,3,74,431
84,5.243,0.238,17,2,240,443
85,50.592,34.247,22,23,82,439
86,-5.231,-2.081,3,8,192,481
87,24.194,25.836,25,25,103,330
88,33.63,37.585,22,18,90,425
89,31.445,-7.001,23,4,270,617
90,30.707,-28.168,16,5,118,324
91,49.86,1.038,13,21,144,467
92,-35.767,14.142,23,23,120,461
93,-29.309,4.889,1,19,189,417
94,19.049,41.974,11,2,71,262
95,27.6,13.934,19,21,111,347
96,52.832,50.684,21,10,128,448
97,6.229,10.59,0,0,0,1000
98,32.663,44.73,0,0,0,1000
99,48.807,48.792,0,0,0,1000
100,33.179,-4.968,0,0,0,1000
