17,,,,,,,,,,,,,,,,,
1,145,129,109,34,102,28,145,,,,,,,,,,#
1,145,122,96,101,53,40,145,,,,,,,,,,#
1,145,114,39,141,80,57,27,84,73,29,7,145,,,,,#
2,146,63,25,51,118,18,4,103,146,,,,,,,,#
2,146,128,113,16,38,8,90,23,50,35,42,10,104,146,,,#
2,146,140,74,127,97,106,133,146,,,,,,,,,#
3,147,56,24,46,135,125,15,5,139,134,3,77,108,68,45,147,#
3,147,85,83,100,30,131,55,81,41,136,147,,,,,,#
3,147,33,37,121,119,62,32,91,147,,,,,,,,#
4,148,142,12,120,69,49,143,9,26,110,61,22,148,,,,#
4,148,132,65,19,148,,,,,,,,,,,,#
5,149,138,14,105,112,149,,,,,,,,,,,#
5,149,107,21,36,124,52,58,60,94,89,86,95,149,,,,#
5,149,67,70,79,117,6,88,126,87,76,1,64,149,,,,#
6,150,54,71,75,99,43,144,72,59,150,,,,,,,#
6,150,92,48,2,31,137,20,98,130,111,17,150,,,,,#
6,150,123,44,115,13,47,78,116,82,93,66,11,150,,,,#
