Category,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days
VRPTW,3,24,500,200,1,1
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-29.73,64.136,2,12,354,509
2,-30.664,5.463,7,8,234,401
3,51.642,5.469,21,16,411,573
4,-13.171,69.336,24,5,474,622
5,-67.413,68.323,1,12,155,295
6,48.907,6.274,17,5,361,509
7,5.243,22.26,6,13,451,629
8,-65.002,77.234,5,20,425,588
9,-4.175,-1.569,7,13,72,199
10,23.029,11.639,1,18,157,318
11,25.482,6.287,4,7,296,444
12,-42.615,-26.392,10,6,111,249
13,-52.039,6.567,23,4,96,208
14,18.597,96.716,13,3,255,414
15,-40.942,83.209,10,16,293,470
16,23.767,29.083,23,21,479,607
17,-35.297,-24.896,10,19,91,238
18,-22.754,55.408,6,9,352,509
19,1.294,7.349,4,14,479,599
20,4.352,14.685,9,11,132,290
21,-7.849,32.074,10,8,296,471
22,11.877,-24.933,25,22,381,482
23,-18.927,-23.73,23,24,401,522
24,12.268,-55.811,17,19,451,597
25,-10.442,19.999,0,0,0,1000
