MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,3,144,475,190,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-40.289,-42.303,6,20,434,571
2,-64.709,-17.389,3,10,131,233
3,5.06,-14.349,23,8,408,585
4,72.095,20.233,1,6,319,486
5,2.594,-15.002,18,1,211,371
6,-24.176,-72.894,8,19,268,399
7,-13.19,66.498,2,13,433,588
8,33.191,13.69,9,24,232,380
9,66.827,-30.554,1,15,361,521
10,19.934,35.883,20,13,433,590
11,-27.771,32.269,23,10,474,639
12,51.154,-16.827,22,4,73,185
13,-19.214,23.749,24,12,194,310
14,-46.643,-52.954,21,21,107,243
15,-10.59,-16.626,18,2,310,432
16,35.15,12.622,21,10,234,349
17,-37.378,12.256,7,20,424,587
18,82.794,25.836,4,9,466,603
19,8.936,-3.723,21,24,422,541
20,-56.659,25.555,13,19,236,364
21,-52.02,-40.137,18,13,76,229
22,39.27,12.787,4,14,391,550
23,19.757,21.228,3,17,350,491
24,-23.071,-12.659,12,25,170,322
25,15.686,52.374,5,1,71,217
26,58.771,-7.056,8,9,403,582
27,-33.087,72.266,14,12,364,535
28,2.551,46.851,10,22,408,503
29,-18.719,73.126,14,2,452,581
30,-67.627,-20.679,19,21,246,379
31,-76.862,-11.365,20,8,129,272
32,-24.194,-38.263,21,19,422,556
33,-20.374,-31.903,11,24,84,211
34,9.29,39.618,14,24,200,314
35,26.044,35.974,6,2,269,391
36,-57.385,-45.264,7,20,64,180
37,1.489,-62.592,3,20,76,240
38,34.937,13.672,22,5,236,389
39,-22.29,45.648,21,17,98,244
40,-5.92,44.061,12,4,382,553
41,-38.446,-23.541,1,21,433,610
42,28.894,33.936,11,3,384,511
43,-35.388,-5.341,12,16,329,435
44,-19.501,13.519,19,14,178,271
45,-9.216,-30.988,8,6,434,568
46,-22.131,-17.065,11,5,207,352
47,-22.827,36.81,18,12,279,392
48,-61.365,-18.463,6,23,76,180
49,50.128,-66.046,3,12,220,318
50,25.647,24.139,6,18,320,483
51,65.521,42.81,10,24,62,234
52,-60.956,-47.925,7,3,237,362
53,-9.07,42.798,17,3,227,380
54,-19.061,4.48,12,25,79,250
55,-54.071,-3.87,11,22,204,371
56,-25.598,-18.866,15,25,117,280
57,-18.707,84.296,6,15,148,319
58,-70.184,-39.166,13,18,257,399
59,-14.636,-0.446,3,8,368,509
60,-76.465,-38.922,23,20,283,375
61,44.092,12.433,24,18,362,524
62,-22.772,-50.867,22,5,207,313
63,19.104,44.672,11,25,128,298
64,-44.019,-39.935,24,16,384,493
65,-2.972,-4.059,8,14,368,481
66,-24.261,35.907,22,1,436,607
67,-61.877,-73.901,11,15,108,282
68,-5.64,-26.721,6,22,442,578
69,45.844,-36.835,10,6,115,250
70,-51.746,-79.84,10,24,77,197
71,-33.008,10.992,20,19,132,254
72,-25.653,-0.372,2,12,398,558
73,-21.497,61.487,18,13,426,525
74,2.032,26.727,8,10,200,329
75,-26.758,14.807,13,12,258,351
76,-37.256,-44.861,8,13,455,611
77,-0.861,-16.418,8,25,442,562
78,-51.16,34.967,18,12,345,512
79,-41.266,-76.886,17,2,77,178
80,-30.255,74.701,10,11,103,233
81,-46.368,-1.514,23,10,469,638
82,-71.619,73.077,3,9,459,608
83,-46.606,-39.948,25,21,71,201
84,-30.243,67.102,4,14,458,571
85,-40.997,-43.036,25,15,148,326
86,-74.286,-52.307,5,6,270,388
87,-17.609,-71.851,9,25,384,501
88,2.35,-81.805,18,14,239,330
89,-85.486,-54.059,16,17,359,527
90,23.822,10.571,16,8,277,390
91,-24.53,-31.726,22,4,390,540
92,-42.474,-15.009,2,17,98,251
93,-33.624,50.33,22,23,450,599
94,-81.458,-41.565,11,4,179,325
95,-73.505,-48.279,24,4,307,457
96,-3.052,70.898,17,9,183,317
97,0.946,25.458,12,9,452,592
98,-54.144,13.525,1,19,182,318
99,-30.634,7.526,23,12,232,371
100,-68.335,-34.277,4,25,155,254
101,7.178,57.935,15,8,306,439
102,4.712,48.669,15,13,158,293
103,58.087,26.379,12,3,397,573
104,18.347,34.784,21,6,425,564
105,-44.629,-61.975,21,11,292,386
106,5.231,26.068,15,24,432,581
107,-48.065,-36.755,21,16,96,242
108,-3.589,-27.734,19,21,390,507
109,9.808,36.896,11,25,146,316
110,59.46,1.233,3,10,414,577
