30,,,,,,,,,,,,
1,0,16,38,2,39,32,3,15,8,40,0,#
1,0,31,20,18,10,6,11,19,0,,,#
1,0,7,12,23,50,24,63,5,28,13,0,#
1,0,4,51,41,17,47,64,1,37,0,,#
1,0,30,9,66,14,0,,,,,,#
2,0,29,53,5,46,4,55,21,0,,,#
2,0,22,56,16,3,15,45,8,34,0,,#
2,0,7,12,17,59,13,52,0,,,,#
2,0,14,9,11,58,26,1,0,,,,#
2,0,25,35,2,18,10,27,6,33,36,0,#
3,0,30,9,70,14,48,49,13,28,0,,#
3,0,2,31,20,18,10,6,11,19,42,0,#
3,0,16,3,54,44,32,0,,,,,#
3,0,7,12,43,23,1,17,0,,,,#
3,0,4,24,5,72,15,8,0,,,,#
4,0,14,9,11,6,27,36,0,,,,#
4,0,4,29,51,41,17,47,1,26,37,0,#
4,0,25,22,16,3,15,8,34,40,0,,#
4,0,2,38,39,35,18,10,33,60,0,,#
4,0,7,12,50,57,5,13,21,0,,,#
5,0,2,31,20,18,10,6,11,19,0,,#
5,0,9,30,14,69,62,32,0,,,,#
5,0,46,53,16,3,15,45,8,0,,,#
5,0,7,12,23,1,17,61,0,,,,#
5,0,4,24,5,28,13,52,0,,,,#
6,0,25,22,16,3,15,8,54,34,44,0,#
6,0,14,9,11,6,27,36,0,,,,#
6,0,7,12,68,43,49,21,48,0,,,#
6,0,4,29,5,13,17,1,26,0,,,#
6,0,67,35,2,18,71,10,65,33,42,0,#
