MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,4,216,450,180,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-41.235,-66.357,14,3,229,323
2,34.064,-59.357,16,16,133,223
3,20.917,-52.582,17,8,342,488
4,-38.538,-37.396,19,15,409,542
5,41.058,22.931,6,12,264,412
6,-54.034,-53.131,7,13,146,238
7,8.099,80.725,3,8,477,638
8,81.299,13.409,10,24,374,499
9,14.459,-2.972,4,14,267,413
10,-52.539,60.107,17,17,141,319
11,-57.202,-34.229,10,8,137,293
12,-65.552,-40.222,13,11,460,626
13,-19.751,-10.278,20,8,348,517
14,-26.965,-87.012,6,17,138,247
15,3.192,-88.654,18,19,254,431
16,34.521,32.837,3,13,199,322
17,80.035,5.273,10,2,351,521
18,-39.838,-67.731,4,8,261,400
19,14.6,11.365,15,21,369,484
20,-20.99,-80.511,4,13,243,387
21,48.242,47.284,6,17,370,538
22,59.338,-31.86,19,4,394,489
23,-13.995,-45.624,7,22,276,440
24,32.397,-32.532,20,24,427,561
25,2.826,50.824,12,11,168,319
26,-66.077,-34.686,8,6,425,571
27,-13.66,18.64,18,19,148,241
28,-59.344,12.769,1,11,84,198
29,-5.133,-18.463,25,23,424,589
30,-22.961,-21.729,16,4,224,349
31,58.13,46.606,5,5,397,526
32,-49.603,-76.624,7,16,206,333
33,-4.803,43.036,20,2,366,466
34,68.616,-19.623,3,13,203,305
35,37.915,63.599,11,11,428,546
36,1.251,-26.55,15,9,301,421
37,-37.952,1.685,15,18,175,288
38,-40.503,8.038,8,7,341,470
39,-8.392,-38.678,13,24,80,196
40,-36.725,25.494,16,5,439,542
41,-47.754,-50.073,4,2,191,323
42,22.595,-28.357,9,5,226,389
43,-36.365,-48.163,5,5,377,538
44,75.452,-13.422,20,3,109,206
45,-64.52,-13.232,10,13,275,430
46,1.257,29.156,9,2,74,224
47,-1.569,-35.974,18,10,237,349
48,46.747,6.696,13,12,160,336
49,82.08,27.057,17,24,165,262
50,74.695,19.366,22,21,241,342
51,47.015,9.338,5,18,60,187
52,-62.036,-21.326,12,5,292,423
53,9.192,20.038,4,15,419,579
54,-3.094,21.582,5,11,466,623
55,-75.446,13.086,22,7,439,559
56,10.034,-63.739,7,3,474,586
57,71.814,26.501,12,17,143,253
58,18.842,-38.019,10,14,110,211
59,-10.541,-31.305,18,14,175,291
60,8.252,-91.15,17,7,424,515
61,72.821,-38.916,3,12,347,514
62,-30.157,38.776,1,5,235,357
63,-56.256,-5.548,9,11,343,492
64,-8.398,-37.604,12,17,91,216
65,15.021,13.708,4,3,310,483
66,-60.199,24.292,2,7,384,505
67,-13.794,-27.106,18,13,108,245
68,-34.796,-22.205,23,20,284,438
69,69.641,83.057,14,13,414,512
70,-44.44,30.09,6,4,130,227
71,48.633,3.021,1,3,261,376
72,-15.314,51.709,6,24,108,257
73,36.261,26.782,6,23,80,252
74,59.961,24.31,8,21,367,516
75,55.304,6.628,25,23,193,291
76,39.96,48.297,3,10,433,596
77,-48.895,-71.1,3,21,75,187
78,-2.338,-62.909,16,24,144,259
79,9.491,-41.901,5,9,64,164
80,-54.675,-18.439,6,22,382,476
81,10.98,-7.605,6,3,350,481
82,-69.824,-50.354,16,6,366,467
83,-40.308,-7.452,6,11,191,349
84,62.244,43.628,13,10,275,435
85,29.077,63.116,4,15,138,278
86,-12.067,-21.509,12,9,100,278
87,14.728,28.906,15,20,174,329
88,-63.086,-60.114,10,19,112,218
89,33.655,-0.928,19,19,304,414
90,-12.225,14.148,19,19,174,347
91,-89.966,51.514,1,20,282,454
92,-0.763,41.339,22,1,313,416
93,80.695,32.983,20,15,404,551
94,-53.394,-14.24,5,18,219,374
95,-53.284,-64.136,12,2,467,582
96,73.26,10.669,4,25,93,202
97,59.613,13.452,12,20,85,195
98,-37.012,6.476,8,18,63,171
99,-53.656,21.692,10,8,389,522
100,-36.89,18.372,2,3,202,324
101,-4.608,-13.806,25,2,241,358
102,53.802,36.993,14,15,446,577
103,48.468,-66.04,20,21,426,554
104,-46.393,-20.929,11,6,354,500
105,-15.045,-40.845,4,24,112,254
106,-73.621,-9.552,6,19,108,283
107,92.847,45.587,8,23,330,486
108,33.557,28.064,5,16,175,326
109,47.321,24.414,3,16,427,561
110,-6.61,-30.157,4,9,182,310
111,12.103,23.84,24,1,139,235
112,-61.963,26.239,4,10,316,422
113,23.877,9.808,11,14,403,537
114,49.78,6.866,23,11,338,504
115,-53.021,-21.484,1,4,401,514
116,54.962,2.985,15,23,353,449
117,4.865,-69.586,12,23,362,464
118,33.948,45.209,10,22,125,215
119,-32.166,-23.621,24,11,462,587
120,-17.548,-46.765,5,14,212,369
121,31.744,33.972,23,12,306,404
122,45.374,22.131,15,13,475,582
123,-5.219,-23.114,6,11,268,425
124,-51.056,-46.545,20,9,67,161
125,11.774,11.133,13,6,328,418
126,-39.758,-13.019,3,25,322,466
127,27.93,29.321,3,21,227,370
128,33.74,66.595,25,13,399,506
129,-91.815,29.858,15,23,342,455
130,-24.628,-68.701,6,8,95,251
131,44.659,20.465,4,7,387,557
132,45.447,-21.069,14,8,112,251
133,-37.366,-12.097,15,9,388,532
134,41.998,0.153,17,2,335,475
135,-42.822,-30.17,12,24,188,354
136,34.906,-4.578,2,7,261,374
137,-65.137,-43.079,11,23,258,401
138,20.27,-4.999,5,21,462,606
139,-36.731,-8.929,20,12,62,181
140,-26.984,-19.568,16,23,388,553
141,-31.299,-83.813,13,18,119,213
142,-26.794,12.506,9,5,230,405
143,-39.362,-58.521,23,15,235,340
144,-34.369,0.61,11,11,463,594
145,43.372,4.187,14,8,449,558
146,-38.226,-9.448,3,2,66,163
147,-25.61,-99.237,9,6,123,249
148,48.059,29.517,21,23,476,597
149,-43.628,-32.318,24,9,456,631
150,-16.602,-29.327,4,1,320,458
151,-29.81,-12.408,18,12,391,503
152,-51.91,-28.711,10,17,171,340
153,-1.801,-18.671,3,2,432,582
154,18.738,21.399,4,5,242,384
155,60.12,7.788,25,1,141,241
156,43.079,42.017,3,20,214,358
157,-39.435,-5.902,22,19,63,175
158,-35.889,-16.034,19,13,62,206
159,-41.827,38.995,20,10,130,252
160,84.497,29.822,7,9,145,249
161,-17.56,-10.48,19,14,263,423
162,-48.383,-48.92,19,4,285,419
163,-49.335,-17.969,22,20,268,447
164,16.095,-2.49,4,17,277,370
165,65.527,14.026,25,19,114,218
166,-2.93,13.22,23,19,310,476
167,-18.768,-23.663,24,16,215,326
168,-91.095,-80.737,25,4,384,497
169,-21.088,-13.293,4,1,278,420
170,46.985,17.224,3,21,132,224
171,-61.957,-33.038,7,9,132,307
172,-9.003,-25.452,10,2,234,404
173,33.661,-7.666,10,24,251,426
174,-25.592,-10.84,23,1,118,226
175,36.56,-2.441,18,21,335,509
176,7.141,24.817,8,13,275,404
177,-43.17,-30.487,16,15,408,507
178,-21.228,0.751,4,4,92,192
179,19.696,10.767,14,10,258,360
180,-6.494,-29.425,23,19,383,484
181,54.388,8.63,17,1,418,591
182,64.203,77.612,7,25,256,420
183,40.381,1.611,8,3,103,256
184,-41.711,-5.133,14,21,438,532
185,74.274,-19.922,22,7,337,457
186,-73.999,-54.626,7,18,172,287
187,29.706,15.454,16,3,122,291
188,23.785,12.177,24,1,231,340
189,42.578,45.325,15,2,183,291
190,-16.73,-16.559,15,8,424,589
191,-14.697,-0.116,5,10,474,642
192,-19.769,8.392,9,19,358,486
193,-30.267,14.893,24,17,80,173
194,-63.116,-67.462,6,19,230,367
195,86.029,38.916,3,24,409,543
196,79.48,-24.866,24,24,333,431
197,35.144,14.734,22,6,152,301
198,-49.365,-9.052,2,2,256,373
199,-49.475,-17.578,21,7,120,276
200,57.501,16.327,17,10,225,389
201,54.889,12.024,13,13,140,289
202,-53.027,-33.179,21,20,130,235
203,-0.415,16.644,3,1,235,342
204,21.594,16.144,9,17,345,436
205,-46.924,-49.261,14,17,449,608
206,18.457,19.733,9,16,309,404
207,35.822,19.763,3,9,211,336
208,71.869,29.034,22,25,252,361
209,-56.378,-42.755,13,1,405,510
210,-25.8,25.159,10,23,326,484
211,-5.676,33.85,7,10,238,413
212,54.041,-5.292,3,15,444,570
213,-63.074,27.38,11,25,452,587
214,-16.864,-49.768,17,25,131,273
215,47.919,13.629,15,16,368,516
216,-10.724,-2.075,4,1,412,518
217,-15.067,-23.95,0,0,0,1000
218,38.791,22.443,0,0,0,1000
219,-41.833,-35.361,0,0,0,1000
220,-29.523,-4.843,0,0,0,1000
221,49.725,11.99,0,0,0,1000
222,21.133,14.142,0,0,0,1000
