MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
MDVRPTW,2,72,500,200,6,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT
1,-92.7,-59.18,8,20,218,308
2,71.179,12.543,15,6,129,244
3,31.537,66.638,20,19,475,593
4,-4.694,25.537,7,10,230,341
5,-30.194,67.773,13,18,159,330
6,12.677,-57.471,6,1,390,561
7,-32.355,-20.966,5,15,389,538
8,19.91,48.975,1,23,89,260
9,13.202,-19.135,12,13,454,628
10,54.877,-41.168,18,12,306,441
11,15.063,-25.171,25,7,391,565
12,-50.598,-16.418,14,25,106,254
13,-29.73,17.078,18,5,460,613
14,17.542,1.575,13,1,76,240
15,11.127,77.216,6,25,366,523
16,33.752,71.259,14,10,270,377
17,-56.012,-10.394,10,2,78,235
18,57.874,-16.29,18,7,251,385
19,10.718,-18.787,8,11,475,597
20,53.088,-18.75,6,4,229,340
21,1.569,7.532,2,6,203,342
22,31.531,48.944,4,15,388,521
23,-66.833,-37.854,4,7,425,544
24,-70.74,62.244,23,8,333,503
25,32.538,23.096,12,10,394,535
26,-51.453,-36.444,24,9,380,503
27,36.456,-22.638,17,4,160,318
28,-31.207,43.494,18,6,313,479
29,-10.388,34.491,25,22,60,154
30,14.722,-10.834,22,17,267,409
31,47.095,-21.387,10,9,281,438
32,43.781,34.766,25,25,217,358
33,53.546,-67.487,21,10,222,375
34,26.801,46.515,21,18,197,324
35,63.385,11.981,16,21,111,237
36,47.192,-5.475,23,10,247,358
37,-16.315,-11.267,21,23,397,522
38,78.9,17.651,15,23,130,308
39,79.822,22.272,7,11,116,291
40,12.878,16.919,20,1,324,473
41,-67.981,-3.754,6,23,255,388
42,9.198,-18.597,16,16,123,214
43,-35.95,-19.141,10,10,281,422
44,28.766,45.276,7,12,247,426
45,11.469,68.231,20,12,173,285
46,-22.76,45.496,9,3,341,481
47,-65.674,-23.12,12,22,322,436
48,7.239,1.599,10,21,413,534
49,-29.785,-11.285,19,13,275,374
50,-89.05,16.211,6,15,399,534
51,-46.887,-3.363,14,13,64,192
52,-14.972,30.621,23,20,182,301
53,-17.035,49.774,8,10,456,602
54,31.635,53.619,10,25,111,206
55,-3.577,13.342,14,7,389,513
56,33.008,58.96,3,15,180,304
57,-92.95,63.263,25,2,154,296
58,-9.137,-22.931,21,23,403,495
59,-39.96,6.195,5,5,141,306
60,28.43,-19.214,2,25,141,234
61,-28.54,-3.485,3,9,377,534
62,31.415,36.859,21,2,179,270
63,-49.426,60.602,1,24,333,434
64,-72.827,-27.765,25,13,258,351
65,60.083,-45.905,21,20,426,569
66,10.87,-3.9,21,13,67,198
67,25.122,7.672,25,15,108,230
68,-46.997,-17.474,14,4,181,299
69,16.058,33.02,20,20,235,407
70,25.409,-11.7,14,8,444,586
71,68.323,-5.145,11,19,424,553
72,-13.104,62.158,25,20,269,441
73,42.395,-8.344,0,0,0,1000
74,-42.175,-14.554,0,0,0,1000
75,16.034,40.726,0,0,0,1000
76,-14.639,29.633,0,0,0,1000
77,16.049,-3.934,0,0,0,1000
78,46.112,12.43,0,0,0,1000
