20,,,,,,,,,,,,,,,,,,
1,193,12,89,165,104,9,56,189,15,193,,,,,,,,#
1,193,18,161,71,32,117,192,181,141,42,121,177,193,,,,,#
1,193,115,33,99,164,151,88,112,163,143,182,171,154,148,193,,,#
1,193,50,67,126,118,75,61,193,,,,,,,,,,#
1,193,68,65,76,35,2,60,95,152,82,180,193,,,,,,#
2,194,173,150,81,7,72,38,188,137,194,,,,,,,,#
2,194,25,142,183,46,30,172,21,5,176,194,,,,,,,#
2,194,145,128,133,59,111,11,107,97,129,157,194,,,,,,#
2,194,3,58,178,125,194,,,,,,,,,,,,#
2,194,79,149,73,108,122,57,116,110,123,194,,,,,,,#
3,195,19,109,167,39,34,130,139,16,91,195,,,,,,,#
3,195,53,52,85,132,159,55,127,162,47,195,,,,,,,#
3,195,62,93,98,24,36,168,187,160,64,134,195,,,,,,#
3,195,190,66,106,27,113,77,69,22,10,195,,,,,,,#
3,195,138,13,174,131,80,155,74,70,14,135,186,195,,,,,#
4,196,185,87,184,78,102,43,179,48,166,191,156,169,96,196,,,#
4,196,175,8,37,17,92,146,103,114,26,100,196,,,,,,#
4,196,94,83,124,28,90,153,29,54,6,84,136,41,63,49,144,196,#
4,196,23,45,170,20,40,105,158,4,196,,,,,,,,#
4,196,101,51,140,147,31,1,86,120,119,44,196,,,,,,#
